<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ADUR.US,D,20241107,000000,4.25,4.25,3.975,4.25,247650,0
ADUR.US,D,20241108,000000,4.25,4.5748,4.2486,4.279,177901,0
ADUR.US,D,20241111,000000,4.59,4.71,4.32,4.58,158904,0
ADUR.US,D,20241112,000000,4.87,5.249,4.7,5.07,274642,0
ADUR.US,D,20241113,000000,5.5,6.1647,5.5,5.95,356549,0
ADUR.US,D,20241114,000000,6.25,7,6.12,6.4085,351721,0
ADUR.US,D,20241115,000000,6.62,6.62,5.68,5.86,188733,0
ADUR.US,D,20241118,000000,5.93,6.6,5.91,6.14,174239,0
ADUR.US,D,20241119,000000,6.19,6.3099,6,6.1,103863,0
ADUR.US,D,20241120,000000,6.19,6.2,5.4,5.52,150841,0
ADUR.US,D,20241121,000000,5.52,5.55,5.3,5.54,76533,0
ADUR.US,D,20241122,000000,5.64,5.65,5.35,5.5,58512,0
ADUR.US,D,20241125,000000,5.66,5.84,5.45,5.45,95535,0
ADUR.US,D,20241126,000000,5.45,5.69,5.41,5.55,70240,0
ADUR.US,D,20241127,000000,5.65,5.65,5.45,5.53,77446,0
ADUR.US,D,20241129,000000,5.6,5.8,5.55,5.79,55772,0
ADUR.US,D,20241202,000000,5.89,5.89,5.73,5.83,70110,0
ADUR.US,D,20241203,000000,5.51,5.8267,5.5001,5.72,45165,0
ADUR.US,D,20241204,000000,5.6,5.73,5.41,5.5,89161,0
ADUR.US,D,20241205,000000,5.46,5.691,5.3,5.3,68576,0
ADUR.US,D,20241206,000000,5.38,5.58,5.3,5.54,64609,0
ADUR.US,D,20241209,000000,5.77,5.77,5.5,5.69,40968,0
ADUR.US,D,20241210,000000,5.7,5.73,5.39,5.44,46956,0
ADUR.US,D,20241211,000000,5.55,5.84,5.55,5.71,83066,0
ADUR.US,D,20241212,000000,5.84,5.84,5.56,5.7,30678,0
ADUR.US,D,20241213,000000,5.7,5.76,5.5,5.57,142960,0
ADUR.US,D,20241216,000000,5.68,5.75,5.53,5.62,61122,0
ADUR.US,D,20241217,000000,5.69,5.7488,5.5,5.69,42752,0
ADUR.US,D,20241218,000000,5.73,5.73,5.5,5.6,32816,0
ADUR.US,D,20241219,000000,5.48,5.5504,5.3692,5.53,58833,0
ADUR.US,D,20241220,000000,5.53,5.6799,5.362,5.46,85892,0
ADUR.US,D,20241223,000000,5.53,5.67,5.3712,5.58,112027,0
ADUR.US,D,20241224,000000,5.5,5.69,5.47,5.6899,41403,0
ADUR.US,D,20241226,000000,5.7,6.25,5.52,6.13,98642,0
ADUR.US,D,20241227,000000,5.88,6.6088,5.88,6.35,214203,0
ADUR.US,D,20241230,000000,6.38,6.4,6.0969,6.25,84327,0
ADUR.US,D,20241231,000000,6.2,6.32,5.99,6.21,36524,0
ADUR.US,D,20250102,000000,6.22,6.36,6.1,6.28,153037,0
ADUR.US,D,20250103,000000,6.17,6.27,6.05,6.07,53827,0
ADUR.US,D,20250106,000000,6.28,6.54,6.2,6.27,158648,0
ADUR.US,D,20250107,000000,6.55,6.55,6.17,6.27,59927,0
ADUR.US,D,20250108,000000,6.31,6.31,5.35,5.55,120912,0
ADUR.US,D,20250110,000000,5.75,5.8999,5.69,5.81,39534,0
