<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AIMAU.US,D,20240731,000000,11.3784,11.3784,11.3784,11.3784,171,0
AIMAU.US,D,20240801,000000,11.39,11.39,11.39,11.39,361,0
AIMAU.US,D,20240807,000000,11.55,11.67,11.51,11.52,886,0
AIMAU.US,D,20240808,000000,11.6,11.6,11.6,11.6,201,0
AIMAU.US,D,20240812,000000,11.6,11.6,11.6,11.6,138,0
AIMAU.US,D,20240819,000000,11.6,11.6,11.6,11.6,145,0
AIMAU.US,D,20240821,000000,11.41,11.41,11.41,11.41,210,0
AIMAU.US,D,20240822,000000,11.56,11.56,11.56,11.56,202,0
AIMAU.US,D,20240823,000000,11.6501,11.6501,11.65,11.65,289,0
AIMAU.US,D,20240826,000000,11.74,11.74,11.65,11.65,443,0
AIMAU.US,D,20240827,000000,11.65,11.65,11.64,11.65,600,0
AIMAU.US,D,20240903,000000,11.65,11.66,11.65,11.66,473,0
AIMAU.US,D,20240917,000000,11.66,11.66,11.66,11.66,102,0
AIMAU.US,D,20240926,000000,11.55,11.55,11.55,11.55,503,0
AIMAU.US,D,20241016,000000,11.66,11.66,11.66,11.66,130,0
AIMAU.US,D,20241031,000000,11.6,11.6,11.6,11.6,240,0
AIMAU.US,D,20241108,000000,11.6,11.6,11.6,11.6,119,0
AIMAU.US,D,20241118,000000,11.67,11.67,11.67,11.67,255,0
AIMAU.US,D,20241119,000000,11.6317,11.75,11.6317,11.75,597,0
AIMAU.US,D,20241120,000000,11.8,11.8,11.75,11.75,400,0
AIMAU.US,D,20241121,000000,11.8,11.8,11.8,11.8,267,0
AIMAU.US,D,20241122,000000,11.8,11.8,11.8,11.8,100,0
AIMAU.US,D,20241125,000000,12.0315,12.0315,12.0315,12.0315,103,0
AIMAU.US,D,20241126,000000,12.391,12.391,11.875,11.875,495,0
AIMAU.US,D,20241127,000000,11.95,11.95,11.88,11.88,361,0
AIMAU.US,D,20241202,000000,12.25,12.4,11.88,11.88,852,0
AIMAU.US,D,20241203,000000,11.9,11.92,11.9,11.9,1047,0
AIMAU.US,D,20241204,000000,12.02,12.02,11.9,11.9,604,0
AIMAU.US,D,20241209,000000,12,12,12,12,110,0
AIMAU.US,D,20241216,000000,11.78,11.78,11.74,11.7499,2371,0
AIMAU.US,D,20241223,000000,11.71,11.76,11.71,11.76,700,0
AIMAU.US,D,20241224,000000,11.78,11.78,11.78,11.78,100,0
AIMAU.US,D,20241227,000000,12.1,12.1,12.1,12.1,200,0
AIMAU.US,D,20241231,000000,12.93,12.93,12.93,12.93,220,0
AIMAU.US,D,20250106,000000,12.99,12.99,12.99,12.99,229,0
