<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ALDF.US,D,20241216,000000,9.9,9.9,9.9,9.9,412626,0
ALDF.US,D,20241217,000000,9.95,9.95,9.9165,9.9165,308,0
ALDF.US,D,20241218,000000,9.91,9.93,9.9,9.9,2374,0
ALDF.US,D,20241219,000000,9.92,9.92,9.92,9.92,100022,0
ALDF.US,D,20241220,000000,9.92,9.92,9.92,9.92,500076,0
ALDF.US,D,20241223,000000,9.93,9.93,9.93,9.93,375,0
ALDF.US,D,20241224,000000,9.93,9.93,9.93,9.93,200438,0
ALDF.US,D,20241226,000000,9.93,9.93,9.93,9.93,1596,0
ALDF.US,D,20241227,000000,9.91,9.91,9.91,9.91,130,0
ALDF.US,D,20241230,000000,9.95,10.05,9.92,9.93,17382,0
ALDF.US,D,20250102,000000,9.93,9.93,9.92,9.92,150795,0
ALDF.US,D,20250103,000000,9.92,9.92,9.915,9.92,60104,0
ALDF.US,D,20250106,000000,9.93,9.94,9.93,9.93,400244,0
