<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANNA.US,D,20241217,000000,9.26,9.26,6.7429,7.35,73589,0
ANNA.US,D,20241218,000000,7.61,7.67,5.8201,7.01,20126,0
ANNA.US,D,20241219,000000,6.8,6.8,6.1221,6.15,3668,0
ANNA.US,D,20241220,000000,6,8.4,6,7.19,28925,0
ANNA.US,D,20241223,000000,6.6,7.26,6.39,7,11689,0
ANNA.US,D,20241224,000000,7,7.01,6.97,7.01,1308,0
ANNA.US,D,20241226,000000,7,7.485,6.367,6.92,51684,0
ANNA.US,D,20241227,000000,6.85,7,6.6,6.62,5994,0
ANNA.US,D,20241230,000000,6.9,7.9344,6.7009,7.25,30868,0
ANNA.US,D,20241231,000000,7.295,7.3199,6.49,6.78,28769,0
ANNA.US,D,20250102,000000,7.02,7.5,6.69,7.5,12448,0
ANNA.US,D,20250103,000000,8.2,8.94,7.75,8.0444,51054,0
ANNA.US,D,20250106,000000,8.43,8.65,7.3,7.72,26935,0
ANNA.US,D,20250107,000000,7.7,8.38,7.35,7.67,26205,0
ANNA.US,D,20250108,000000,7.4,7.57,6.49,6.98,9419,0
ANNA.US,D,20250110,000000,7.17,10.4899,7.1,8.78,42610,0
