<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ANNAW.US,D,20241217,000000,0.1717,0.22,0.135,0.1451,142265,0
ANNAW.US,D,20241218,000000,0.1978,0.1978,0.1001,0.1001,108955,0
ANNAW.US,D,20241219,000000,0.1,0.1399,0.1,0.1075,27208,0
ANNAW.US,D,20241220,000000,0.12,0.1689,0.12,0.1225,19501,0
ANNAW.US,D,20241226,000000,0.1598,0.2416,0.1475,0.2098,81418,0
ANNAW.US,D,20241227,000000,0.198,0.2401,0.1663,0.1663,61751,0
ANNAW.US,D,20241230,000000,0.185,0.2313,0.1662,0.18,158022,0
ANNAW.US,D,20241231,000000,0.193549,0.2199,0.14,0.14,9848,0
ANNAW.US,D,20250102,000000,0.1898,0.1898,0.1451,0.1501,87788,0
ANNAW.US,D,20250103,000000,0.1774,0.235,0.1774,0.2073,193381,0
ANNAW.US,D,20250106,000000,0.19,0.234,0.1325,0.175,193067,0
ANNAW.US,D,20250107,000000,0.18,0.18,0.075,0.125,110243,0
ANNAW.US,D,20250108,000000,0.14,0.14,0.125,0.125,2395,0
ANNAW.US,D,20250110,000000,0.15,0.2274,0.1471,0.18,161783,0
