<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQUNR.US,D,20241031,000000,0.16,0.18,0.16,0.18,1500,0
AQUNR.US,D,20241112,000000,0.1701,0.182,0.1622,0.1622,1100,0
AQUNR.US,D,20241119,000000,0.169,0.31,0.1002,0.1002,7500,0
AQUNR.US,D,20241209,000000,0.11,0.11,0.11,0.11,1561,0
AQUNR.US,D,20241210,000000,0.17,0.29,0.11,0.11,3690,0
AQUNR.US,D,20241216,000000,0.1101,0.1101,0.1101,0.1101,456,0
AQUNR.US,D,20241217,000000,0.18,0.181,0.1449,0.145,1061,0
AQUNR.US,D,20241218,000000,0.18,0.18,0.1205,0.157518,4793,0
AQUNR.US,D,20241219,000000,0.18,0.29,0.18,0.29,217,0
AQUNR.US,D,20241223,000000,0.2,0.26,0.2,0.26,1012,0
AQUNR.US,D,20241231,000000,0.17,0.17,0.17,0.17,200,0
AQUNR.US,D,20250107,000000,0.1738,0.23185,0.1477,0.211498,7900,0
AQUNR.US,D,20250108,000000,0.22,0.29,0.1541,0.1541,6100,0
