<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AQUNU.US,D,20240815,000000,11.9001,11.9001,11.9,11.9,202,0
AQUNU.US,D,20240816,000000,11.5,12,11.5,12,301,0
AQUNU.US,D,20240819,000000,12.15,12.48,11.8,12.48,1792,0
AQUNU.US,D,20240820,000000,11.51,12.15,11.51,12.15,808,0
AQUNU.US,D,20240823,000000,11.61,11.63,11.61,11.63,420,0
AQUNU.US,D,20240903,000000,11.8,12.4,11.7,11.7,4326,0
AQUNU.US,D,20240909,000000,11.19,11.33,11.01,11.01,1320,0
AQUNU.US,D,20240919,000000,10.74,11.01,10.74,11.01,1248,0
AQUNU.US,D,20241014,000000,11.15,11.15,11.15,11.15,399,0
AQUNU.US,D,20241202,000000,11.6502,11.6502,11.6502,11.6502,100,0
AQUNU.US,D,20241203,000000,11.37,11.37,11.37,11.37,354,0
AQUNU.US,D,20241217,000000,11.39,11.39,11.39,11.39,100,0
AQUNU.US,D,20241220,000000,11.55,11.55,11.55,11.55,354,0
AQUNU.US,D,20241223,000000,11.89,11.99,11.75,11.87,5104,0
AQUNU.US,D,20241224,000000,12.69,12.69,12.49,12.49,1811,0
AQUNU.US,D,20241226,000000,11.82,12.14,11.43,11.43,2204,0
AQUNU.US,D,20241230,000000,11.54,12.89,11.54,12.31,5899,0
AQUNU.US,D,20250102,000000,11.48,11.48,11.46,11.46,410,0
AQUNU.US,D,20250107,000000,11.7486,11.7486,11.48,11.51,1491,0
AQUNU.US,D,20250108,000000,11.74,12.15,11.41,11.41,1856,0
AQUNU.US,D,20250110,000000,11.43,11.51,11.43,11.51,522,0
