<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ASPCU.US,D,20241108,000000,10,10.01,9.98,9.99,1663093,0
ASPCU.US,D,20241111,000000,9.98,10,9.98,9.99,186504,0
ASPCU.US,D,20241112,000000,10,10,9.99,9.99,50175,0
ASPCU.US,D,20241113,000000,9.99,10,9.99,9.9998,152907,0
ASPCU.US,D,20241114,000000,10.01,10.01,10,10,3005,0
ASPCU.US,D,20241115,000000,9.994,10,9.99,9.99,31623,0
ASPCU.US,D,20241118,000000,9.9984,9.9984,9.99,9.99,949,0
ASPCU.US,D,20241119,000000,9.99,9.99,9.99,9.99,647,0
ASPCU.US,D,20241120,000000,10,10,9.993,9.995,35222,0
ASPCU.US,D,20241121,000000,10,10,9.9901,9.9971,12893,0
ASPCU.US,D,20241122,000000,9.99,10,9.99,10,58654,0
ASPCU.US,D,20241125,000000,9.9999,10.01,9.9999,10.01,39640,0
ASPCU.US,D,20241126,000000,10,10.02,10,10.01,5581,0
ASPCU.US,D,20241127,000000,10.0002,10.02,10,10.0015,61762,0
ASPCU.US,D,20241129,000000,10.02,10.02,10.0027,10.0027,578,0
ASPCU.US,D,20241202,000000,10.02,10.02,10.02,10.02,120,0
ASPCU.US,D,20241203,000000,10.02,10.03,10.01,10.02,7423,0
ASPCU.US,D,20241204,000000,10.02,10.02,10.01,10.01,16703,0
ASPCU.US,D,20241205,000000,10.0131,10.03,10.0126,10.03,2202,0
ASPCU.US,D,20241206,000000,10.02,10.04,10.01,10.04,58762,0
ASPCU.US,D,20241209,000000,10.03,10.035,10.03,10.03,7090,0
ASPCU.US,D,20241210,000000,10.03,10.03,10.03,10.03,50121,0
ASPCU.US,D,20241211,000000,10.0223,10.04,10.02,10.04,24439,0
ASPCU.US,D,20241213,000000,10.05,10.06,10.05,10.06,1746,0
ASPCU.US,D,20241216,000000,10.0508,10.06,10.05,10.06,900,0
ASPCU.US,D,20241217,000000,10.06,10.06,10.055,10.06,5272,0
ASPCU.US,D,20241218,000000,10.075,10.075,10.069,10.069,601,0
ASPCU.US,D,20241219,000000,10.07,10.07,10.05,10.07,97092,0
ASPCU.US,D,20241220,000000,10.065,10.07,10.04,10.04,84450,0
ASPCU.US,D,20241223,000000,10.04,10.04,10.03,10.033,152100,0
ASPCU.US,D,20241224,000000,10.05,10.05,10.04,10.04,201,0
ASPCU.US,D,20241226,000000,10.04,10.04,10.04,10.04,5200,0
ASPCU.US,D,20241227,000000,10.05,10.05,10.05,10.05,100,0
ASPCU.US,D,20241230,000000,10.05,10.0601,10.05,10.0601,12374,0
ASPCU.US,D,20241231,000000,10.07,10.08,10.0612,10.07,130976,0
ASPCU.US,D,20250102,000000,10.07,10.07,10.07,10.07,5000,0
ASPCU.US,D,20250103,000000,10.1,10.1,10.06,10.09,51611,0
ASPCU.US,D,20250107,000000,10.09,10.1,10.08,10.0822,5763,0
ASPCU.US,D,20250108,000000,10.09,10.09,10.08,10.08,701,0
ASPCU.US,D,20250110,000000,10.2,10.3,10.08,10.09,2673,0
