<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BACQR.US,D,20241203,000000,0.166,0.17,0.16,0.17,65000,0
BACQR.US,D,20241204,000000,0.16,0.166,0.16,0.166,925200,0
BACQR.US,D,20241206,000000,0.17,0.172,0.17,0.17,33000,0
BACQR.US,D,20241209,000000,0.17,0.17,0.17,0.17,5016,0
BACQR.US,D,20241210,000000,0.17,0.18,0.17,0.18,60000,0
BACQR.US,D,20241212,000000,0.17,0.17,0.17,0.17,25000,0
BACQR.US,D,20241213,000000,0.18,0.19,0.18,0.18,40603,0
BACQR.US,D,20241216,000000,0.18,0.18,0.18,0.18,25000,0
BACQR.US,D,20241217,000000,0.19,0.1916,0.19,0.19,37414,0
BACQR.US,D,20241223,000000,0.192,0.192,0.19,0.19,700,0
BACQR.US,D,20241226,000000,0.176,0.176,0.17,0.17,2438,0
BACQR.US,D,20241230,000000,0.2,0.2,0.1745,0.19,391,0
BACQR.US,D,20241231,000000,0.174,0.174,0.17,0.17,4331,0
BACQR.US,D,20250102,000000,0.17,0.17,0.17,0.17,25059,0
BACQR.US,D,20250106,000000,0.1705,0.18,0.1705,0.18,2657,0
BACQR.US,D,20250107,000000,0.18,0.185,0.18,0.185,59276,0
BACQR.US,D,20250108,000000,0.185,0.2,0.185,0.2,500537,0
BACQR.US,D,20250110,000000,0.195,0.2,0.195,0.2,3530,0
