<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BACQU.US,D,20241101,000000,9.98,9.995,9.97,9.985,5445500,0
BACQU.US,D,20241104,000000,9.98,10,9.98,9.98,1210679,0
BACQU.US,D,20241105,000000,10,10,9.98,9.98,142404,0
BACQU.US,D,20241106,000000,9.99,9.99,9.98,9.98,259634,0
BACQU.US,D,20241107,000000,9.99,9.99,9.98,9.99,50583,0
BACQU.US,D,20241108,000000,9.98,9.98,9.975,9.98,2706,0
BACQU.US,D,20241111,000000,9.9802,9.99,9.9784,9.9784,98535,0
BACQU.US,D,20241112,000000,9.99,9.99,9.975,9.98,137849,0
BACQU.US,D,20241113,000000,9.99,9.99,9.99,9.99,118907,0
BACQU.US,D,20241115,000000,10,10,9.9949,10,4000,0
BACQU.US,D,20241118,000000,10.01,10.01,9.9849,9.99,797159,0
BACQU.US,D,20241119,000000,9.99,10,9.98,9.99,14455,0
BACQU.US,D,20241120,000000,10,10.01,9.9848,10.01,66150,0
BACQU.US,D,20241121,000000,10.01,10.01,10,10,3694,0
BACQU.US,D,20241122,000000,10.01,10.01,9.99,10,44534,0
BACQU.US,D,20241125,000000,10.0953,10.92,9.99,9.9984,35828,0
BACQU.US,D,20241126,000000,9.99,10,9.99,9.9964,3400,0
BACQU.US,D,20241127,000000,9.994,10.005,9.99,10,5390,0
BACQU.US,D,20241129,000000,10,10,9.99,9.99,1337,0
BACQU.US,D,20241202,000000,10.04,10.0551,10.04,10.045,264186,0
BACQU.US,D,20241203,000000,10.04,10.0401,10.03,10.0302,3099,0
BACQU.US,D,20241204,000000,10.03,10.03,10.03,10.03,303,0
BACQU.US,D,20241205,000000,10.0302,10.0401,10.03,10.03,3554,0
BACQU.US,D,20241206,000000,10.05,10.05,10.04,10.04,2067,0
BACQU.US,D,20241209,000000,10.05,10.05,10.04,10.04,300,0
BACQU.US,D,20241210,000000,10.04,10.05,10.04,10.04,71649,0
BACQU.US,D,20241211,000000,10.04,10.04,10.04,10.04,1473,0
BACQU.US,D,20241212,000000,10.0552,10.0552,10.03,10.04,2124,0
BACQU.US,D,20241213,000000,10.04,10.04,10.03,10.03,2553,0
BACQU.US,D,20241216,000000,10.03,10.03,10.03,10.03,275,0
BACQU.US,D,20241217,000000,10.0319,10.0372,10.0319,10.0372,8745,0
BACQU.US,D,20241220,000000,10.05,10.05,10.03,10.03,296,0
BACQU.US,D,20241223,000000,10.05,10.0515,10.0498,10.0515,3394,0
BACQU.US,D,20250102,000000,10.04,10.04,10.03,10.03,4464,0
BACQU.US,D,20250103,000000,10.03,10.05,10.03,10.05,9323,0
BACQU.US,D,20250106,000000,10.0316,10.0334,10.0316,10.0334,7500,0
BACQU.US,D,20250107,000000,10.03,10.03,10.03,10.03,301,0
BACQU.US,D,20250108,000000,10.03,10.03,10.03,10.03,101,0
BACQU.US,D,20250110,000000,10.07,10.0902,10.07,10.07,8918,0
