<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BAFE.US,D,20241120,000000,25.62,25.62,25,25.1565,115565,0
BAFE.US,D,20241121,000000,25.16,25.43,25.16,25.415,45479,0
BAFE.US,D,20241122,000000,25.45,25.486,25.3968,25.486,539894,0
BAFE.US,D,20241125,000000,25.67,25.74,25.59,25.7097,296335,0
BAFE.US,D,20241126,000000,25.7,25.81,25.67,25.8098,492597,0
BAFE.US,D,20241127,000000,25.79,25.81,25.72,25.745,373038,0
BAFE.US,D,20241129,000000,25.7793,25.8899,25.7793,25.8503,181917,0
BAFE.US,D,20241202,000000,25.91,25.94,25.86,25.9113,29952,0
BAFE.US,D,20241203,000000,25.86,25.92,25.8499,25.9097,78301,0
BAFE.US,D,20241204,000000,25.9826,26.03,25.98,26.03,42277,0
BAFE.US,D,20241205,000000,26.01,26.01,25.8326,25.8326,12212,0
BAFE.US,D,20241206,000000,25.91,25.95,25.855,25.9,220712,0
BAFE.US,D,20241209,000000,25.92,25.92,25.78,25.7814,24978,0
BAFE.US,D,20241210,000000,25.82,25.84,25.73,25.7412,25790,0
BAFE.US,D,20241211,000000,25.96,25.99,25.95,25.9744,27597,0
BAFE.US,D,20241212,000000,25.86,25.86,25.7892,25.7892,6207,0
BAFE.US,D,20241213,000000,25.85,25.85,25.7108,25.7108,37315,0
BAFE.US,D,20241216,000000,25.84,25.84,25.7567,25.7567,19838,0
BAFE.US,D,20241217,000000,25.68,25.68,25.609,25.6413,131324,0
BAFE.US,D,20241218,000000,25.65,25.75,24.9,24.9081,80376,0
BAFE.US,D,20241219,000000,25.2,25.2,24.8884,24.8884,81767,0
BAFE.US,D,20241220,000000,24.82,25.33,24.82,25.1605,81029,0
BAFE.US,D,20241223,000000,25.2036,25.325,25.07,25.325,34671,0
BAFE.US,D,20241224,000000,25.35,25.5528,25.35,25.5528,27301,0
BAFE.US,D,20241226,000000,25.52,25.61,25.51,25.585,31517,0
BAFE.US,D,20241227,000000,25.43,25.46,25.189,25.3176,83647,0
BAFE.US,D,20241230,000000,25,25.17,24.899,25.0863,207679,0
BAFE.US,D,20241231,000000,25.16,25.16,24.95,24.9547,49709,0
BAFE.US,D,20250102,000000,25.25,25.259,24.87,24.9494,302627,0
BAFE.US,D,20250103,000000,25.01,25.27,25.01,25.2198,459440,0
BAFE.US,D,20250106,000000,25.47,25.59,25.391,25.391,12839,0
BAFE.US,D,20250107,000000,25.44,25.47,25.205,25.205,52896,0
BAFE.US,D,20250108,000000,25.2,25.27,25.13,25.2475,49893,0
BAFE.US,D,20250110,000000,25.02,25.07,24.91,24.92,87834,0
