<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDMD.US,D,20241003,000000,5.65,5.83,4.68,5,214935,0
BDMD.US,D,20241004,000000,4.98,5.46,4.0137,4.32,89397,0
BDMD.US,D,20241007,000000,4.22,4.67,3.58,4.43,42431,0
BDMD.US,D,20241008,000000,4.5191,5.1,3.62,3.885,103117,0
BDMD.US,D,20241009,000000,4.09,4.4674,3.75,3.94,62033,0
BDMD.US,D,20241010,000000,3.8,4.35,3.01,3.8,165286,0
BDMD.US,D,20241011,000000,3.72,3.9,3.31,3.31,41961,0
BDMD.US,D,20241014,000000,3.45,3.45,3.23,3.43,20007,0
BDMD.US,D,20241015,000000,3.36,3.44,3.15,3.15,5722,0
BDMD.US,D,20241016,000000,3.15,3.39,2.8132,3.26,26065,0
BDMD.US,D,20241017,000000,3.5,3.55,3.01,3.06,73950,0
BDMD.US,D,20241018,000000,3.17,3.29,3.0101,3.02,16499,0
BDMD.US,D,20241021,000000,3.08,3.55,3.08,3.1,20831,0
BDMD.US,D,20241022,000000,3.12,3.4723,3.09,3.25,46196,0
BDMD.US,D,20241023,000000,3.514,3.514,3.052,3.06,9155,0
BDMD.US,D,20241024,000000,3.1189,3.3,3.052,3.16,17164,0
BDMD.US,D,20241025,000000,3.05,3.45,3.05,3.08,16592,0
BDMD.US,D,20241028,000000,3.08,3.22,2.73,3,32392,0
BDMD.US,D,20241029,000000,2.98,3.14,2.65,3.14,22019,0
BDMD.US,D,20241030,000000,2.93,3.14,2.75,2.75,11233,0
BDMD.US,D,20241031,000000,3.1737,3.1737,2.72,2.72,3788,0
BDMD.US,D,20241101,000000,2.8,3.12,2.6156,2.6156,3457,0
BDMD.US,D,20241104,000000,2.79,3.18,2.602,2.75,120822,0
BDMD.US,D,20241105,000000,2.88,3.1,2.65,2.95,81372,0
BDMD.US,D,20241106,000000,2.7502,3.1299,2.65,2.93,88622,0
BDMD.US,D,20241107,000000,3.14,3.14,2.85,2.99,6453,0
BDMD.US,D,20241108,000000,3.03,3.16,2.9,3,3994,0
BDMD.US,D,20241111,000000,3.09,3.12,2.8,2.975,3828,0
BDMD.US,D,20241112,000000,2.98,2.98,2.96,2.96,8884,0
BDMD.US,D,20241113,000000,2.7,3,2.49,2.8656,20876,0
BDMD.US,D,20241114,000000,2.71,2.8499,2.512,2.53,4184,0
BDMD.US,D,20241115,000000,2.698,2.87,2.2564,2.51,11258,0
BDMD.US,D,20241118,000000,2.51,2.84,2.2788,2.45,29744,0
BDMD.US,D,20241119,000000,2.5,2.545,2.2799,2.44,10819,0
BDMD.US,D,20241120,000000,2.43,2.4787,2.1,2.47,51013,0
BDMD.US,D,20241121,000000,2.36,2.49,2.36,2.36,11288,0
BDMD.US,D,20241122,000000,2.4164,2.7348,2.28,2.28,5403,0
BDMD.US,D,20241125,000000,2.27,2.3978,1.8,2,41999,0
BDMD.US,D,20241126,000000,2.05,2.7,1.8669,2.4004,141070,0
BDMD.US,D,20241127,000000,2.58,2.63,2.18,2.52,59293,0
BDMD.US,D,20241129,000000,2.61,2.61,2.1101,2.45,29392,0
BDMD.US,D,20241202,000000,2.39,2.68,2.205,2.4,104952,0
BDMD.US,D,20241203,000000,2.48,2.48,2.26,2.3,10816,0
BDMD.US,D,20241204,000000,2.22,2.8997,1.82,2.1,112505,0
BDMD.US,D,20241205,000000,2.11,2.331,1.7797,1.88,43160,0
BDMD.US,D,20241206,000000,1.82,1.95,1.5841,1.845,8097,0
BDMD.US,D,20241209,000000,1.79,2.02,1.64,1.7501,29211,0
BDMD.US,D,20241210,000000,1.77,1.815,1.76,1.76,4995,0
BDMD.US,D,20241211,000000,1.88,1.88,1.56,1.64,28414,0
BDMD.US,D,20241212,000000,1.62,1.6689,1.52,1.56,9711,0
BDMD.US,D,20241213,000000,1.56,1.68,1.42,1.55,12218,0
BDMD.US,D,20241216,000000,1.63,1.67,1.47,1.59,10231,0
BDMD.US,D,20241217,000000,1.64,1.64,1.46,1.51,14110,0
BDMD.US,D,20241218,000000,1.65,1.65,1.55,1.55,14656,0
BDMD.US,D,20241219,000000,1.63,2.58,1.55,2.33,789684,0
BDMD.US,D,20241220,000000,2.14,2.19,1.68,1.83,198075,0
BDMD.US,D,20241223,000000,1.85,2.49,1.84,2.05,268477,0
BDMD.US,D,20241224,000000,1.98,2.08,1.76,1.7658,65579,0
BDMD.US,D,20241226,000000,1.86,1.91,1.78,1.78,31582,0
BDMD.US,D,20241227,000000,1.8,1.81,1.67,1.72,36614,0
BDMD.US,D,20241230,000000,1.8,1.8,1.05,1.05,153541,0
BDMD.US,D,20241231,000000,1.52,9.35,1.415,7.6,89739005,0
BDMD.US,D,20250102,000000,4.3,5.8,3.77,5.12,3848992,0
BDMD.US,D,20250103,000000,4.9,8.15,4.9,6.04,3963458,0
BDMD.US,D,20250106,000000,6.25,7.99,6.0221,6.7,733678,0
BDMD.US,D,20250107,000000,6.83,7.82,6.25,7.52,542547,0
BDMD.US,D,20250108,000000,6.5,8.2,6.5,7.65,323071,0
BDMD.US,D,20250110,000000,7.63,9.1471,7.63,8.86,359260,0
