<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BDMDW.US,D,20241003,000000,0.062,0.08,0.0601,0.0601,14524,0
BDMDW.US,D,20241004,000000,0.0479,0.05,0.0404,0.0407,18934,0
BDMDW.US,D,20241008,000000,0.0401,0.06,0.0376,0.0404,194638,0
BDMDW.US,D,20241009,000000,0.0498,0.06,0.0405,0.0406,10139,0
BDMDW.US,D,20241010,000000,0.0569,0.06,0.0405,0.041,34915,0
BDMDW.US,D,20241014,000000,0.0406,0.0523,0.0351,0.0351,5728,0
BDMDW.US,D,20241015,000000,0.0375,0.0375,0.0257,0.0276,113428,0
BDMDW.US,D,20241024,000000,0.0311,0.0311,0.0311,0.0311,18100,0
BDMDW.US,D,20241028,000000,0.0311,0.0311,0.0311,0.0311,11675,0
BDMDW.US,D,20241030,000000,0.0397,0.0484,0.0397,0.0397,2834,0
BDMDW.US,D,20241031,000000,0.048,0.048,0.048,0.048,190,0
BDMDW.US,D,20241104,000000,0.04835,0.04835,0.0336,0.0336,3041,0
BDMDW.US,D,20241106,000000,0.031,0.031,0.0275,0.0275,11223,0
BDMDW.US,D,20241107,000000,0.0275,0.0275,0.0254,0.0254,18721,0
BDMDW.US,D,20241108,000000,0.0254,0.0254,0.0254,0.0254,100,0
BDMDW.US,D,20241114,000000,0.0261,0.0261,0.0261,0.0261,328,0
BDMDW.US,D,20241118,000000,0.0262,0.0262,0.0262,0.0262,702,0
BDMDW.US,D,20241121,000000,0.0266,0.03,0.0265,0.03,36561,0
BDMDW.US,D,20241125,000000,0.0266,0.0394,0.0266,0.0394,577,0
BDMDW.US,D,20241129,000000,0.0301,0.0301,0.0266,0.0266,7507,0
BDMDW.US,D,20241202,000000,0.0271,0.0271,0.0212,0.0212,65345,0
BDMDW.US,D,20241204,000000,0.0471,0.0475,0.0332,0.0332,2304,0
BDMDW.US,D,20241210,000000,0.0328,0.0328,0.0326,0.0326,1102,0
BDMDW.US,D,20241211,000000,0.0388,0.0474,0.0358,0.0403,4000,0
BDMDW.US,D,20241212,000000,0.03,0.03,0.0204,0.0267,152700,0
BDMDW.US,D,20241216,000000,0.04,0.0438,0.0333,0.0333,23100,0
BDMDW.US,D,20241217,000000,0.021,0.03,0.0202,0.03,31947,0
BDMDW.US,D,20241218,000000,0.0202,0.0202,0.0202,0.0202,1750,0
BDMDW.US,D,20241220,000000,0.036641,0.0399,0.03,0.03,5527,0
BDMDW.US,D,20241224,000000,0.0465,0.05,0.0397,0.0397,2700,0
BDMDW.US,D,20241226,000000,0.0351,0.045,0.0351,0.04,17355,0
BDMDW.US,D,20241227,000000,0.037,0.037,0.037,0.037,750,0
BDMDW.US,D,20241231,000000,0.0495,0.3199,0.0307,0.205,2230370,0
BDMDW.US,D,20250102,000000,0.1111,0.16,0.1111,0.14,158356,0
BDMDW.US,D,20250103,000000,0.1325,0.1998,0.12,0.121,227662,0
BDMDW.US,D,20250106,000000,0.14,0.1799,0.1216,0.122,323329,0
BDMDW.US,D,20250107,000000,0.1231,0.14,0.1075,0.1176,41783,0
BDMDW.US,D,20250108,000000,0.1198,0.12,0.0899,0.0901,360863,0
BDMDW.US,D,20250110,000000,0.109,0.11,0.0801,0.11,289031,0
