<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BEAG.US,D,20241218,000000,9.86,9.87,9.842,9.86,83988,0
BEAG.US,D,20241219,000000,9.8575,9.86,9.8575,9.86,980560,0
BEAG.US,D,20241220,000000,9.86,9.86,9.86,9.86,647747,0
BEAG.US,D,20241226,000000,9.85,9.85,9.85,9.85,39175,0
BEAG.US,D,20241227,000000,9.86,9.86,9.86,9.86,3154,0
BEAG.US,D,20241230,000000,9.865,9.87,9.865,9.87,16252,0
BEAG.US,D,20250102,000000,9.87,9.87,9.86,9.86,127162,0
BEAG.US,D,20250106,000000,9.87,9.87,9.8588,9.86,42702,0
BEAG.US,D,20250107,000000,9.87,9.88,9.87,9.8783,9198,0
BEAG.US,D,20250108,000000,9.899,9.9,9.899,9.9,3141,0
BEAG.US,D,20250110,000000,9.9,9.9,9.88,9.88,2300,0
