<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOWNU.US,D,20240819,000000,10.95,10.97,10.95,10.95,1842,0
BOWNU.US,D,20240820,000000,11.69,11.69,11.69,11.69,510,0
BOWNU.US,D,20240909,000000,11,11,11,11,101,0
BOWNU.US,D,20240911,000000,10.8,10.8,10.75,10.8,2586,0
BOWNU.US,D,20241011,000000,11.1,12.44,10.9,12,9403,0
BOWNU.US,D,20241014,000000,12.2,12.64,11.11,12.2,8116,0
BOWNU.US,D,20241016,000000,13.07,13.07,12,12.49,2572,0
BOWNU.US,D,20241017,000000,11.24,11.24,11,11.02,855,0
BOWNU.US,D,20241018,000000,12.1,12.1,10.94,11.1,5306,0
BOWNU.US,D,20241021,000000,11.01,11.01,11.01,11.01,577,0
BOWNU.US,D,20241022,000000,11.01,11.01,11.01,11.01,600,0
BOWNU.US,D,20241023,000000,11.01,11.14,11,11.01,5034,0
BOWNU.US,D,20241028,000000,11,11.09,11,11.09,317,0
BOWNU.US,D,20241112,000000,11,12.45,11,11.5,8568,0
BOWNU.US,D,20241113,000000,12.5,12.5,11.01,11.06,8591,0
BOWNU.US,D,20241114,000000,11.25,11.25,11.25,11.25,103,0
BOWNU.US,D,20241115,000000,11.06,12.4,10.99,11.03,15828,0
BOWNU.US,D,20241118,000000,10.97,10.97,10.97,10.97,251,0
BOWNU.US,D,20241120,000000,11,11,11,11,499,0
BOWNU.US,D,20241206,000000,11.1,11.1,11.1,11.1,300,0
BOWNU.US,D,20241227,000000,11.28,11.28,11.01,11.01,801,0
BOWNU.US,D,20250106,000000,11.05,11.05,11.01,11.03,1600,0
BOWNU.US,D,20250107,000000,11.8,13.01,10.87,12.1,8033,0
BOWNU.US,D,20250108,000000,11.92,13,11.5,11.5,1618,0
BOWNU.US,D,20250110,000000,12.34,12.9,11.55,11.75,2092,0
