<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BRKU.US,D,20241212,000000,25,25,24.55,24.62,41962,0
BRKU.US,D,20241213,000000,24.82,24.82,24.4,24.5,18095,0
BRKU.US,D,20241216,000000,24.65,24.65,24.141,24.25,39565,0
BRKU.US,D,20241217,000000,24.18,24.3,23.87,24.25,58370,0
BRKU.US,D,20241218,000000,24.43,24.53,23.24,23.27,59240,0
BRKU.US,D,20241219,000000,23.92,23.9999,23.53,23.55,23909,0
BRKU.US,D,20241220,000000,23.4,24.42,22.65,23.97,79833,0
BRKU.US,D,20241223,000000,23.94,24.03,23.5244,24.03,33495,0
BRKU.US,D,20241224,000000,24.16,24.51,24,24.51,16312,0
BRKU.US,D,20241226,000000,24.39,24.5335,24.31,24.5,46564,0
BRKU.US,D,20241227,000000,24.57,24.65,24,24.26,45450,0
BRKU.US,D,20241230,000000,24.08,24.08,23.49,23.77,32821,0
BRKU.US,D,20241231,000000,23.78,23.91,23.641,23.91,15372,0
BRKU.US,D,20250102,000000,24.18,24.19,23.471,23.63,36892,0
BRKU.US,D,20250103,000000,23.8,23.93,23.56,23.88,24765,0
BRKU.US,D,20250106,000000,23.98,24.09,23.53,23.64,68633,0
BRKU.US,D,20250107,000000,23.66,24.09,23.66,23.81,18928,0
BRKU.US,D,20250108,000000,23.9,23.9,23.41,23.67,9264,0
BRKU.US,D,20250110,000000,22.6,22.6,22.44,22.6,32915,0
