<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BSII.US,D,20241011,000000,10,10,9.9,9.9,25827,0
BSII.US,D,20241017,000000,9.91,9.91,9.91,9.91,407,0
BSII.US,D,20241018,000000,9.91,9.92,9.9,9.9,2910,0
BSII.US,D,20241025,000000,9.89,9.89,9.89,9.89,11205,0
BSII.US,D,20241028,000000,9.89,9.89,9.89,9.89,2500,0
BSII.US,D,20241030,000000,9.89,9.9,9.88,9.89,13002,0
BSII.US,D,20241031,000000,9.89,9.89,9.89,9.89,2405,0
BSII.US,D,20241101,000000,9.88,9.88,9.88,9.88,9115,0
BSII.US,D,20241107,000000,9.88,9.89,9.88,9.89,2577,0
BSII.US,D,20241108,000000,9.9118,9.9118,9.8455,9.87,47200,0
BSII.US,D,20241111,000000,9.87,9.88,9.87,9.88,744,0
BSII.US,D,20241112,000000,9.87,9.87,9.86,9.87,8783,0
BSII.US,D,20241114,000000,9.875,9.88,9.87,9.87,4112,0
BSII.US,D,20241115,000000,9.88,9.88,9.87,9.87,291,0
BSII.US,D,20241118,000000,9.86,9.8743,9.86,9.8743,738,0
BSII.US,D,20241120,000000,9.87,9.87,9.8599,9.87,33759,0
BSII.US,D,20241121,000000,9.86,9.86,9.85,9.86,3175,0
BSII.US,D,20241122,000000,9.86,9.881,9.85,9.85,105135,0
BSII.US,D,20241125,000000,9.85,9.8756,9.85,9.8501,66837,0
BSII.US,D,20241126,000000,9.85,9.87,9.85,9.8501,122389,0
BSII.US,D,20241127,000000,9.8541,9.875,9.85,9.87,155737,0
BSII.US,D,20241129,000000,9.86,9.87,9.86,9.87,964,0
BSII.US,D,20241202,000000,9.8641,9.8701,9.86,9.8701,681,0
BSII.US,D,20241203,000000,9.87,9.89,9.86,9.86,29883,0
BSII.US,D,20241204,000000,9.86,9.87,9.86,9.87,225056,0
BSII.US,D,20241205,000000,9.87,9.8901,9.87,9.88,99389,0
BSII.US,D,20241206,000000,9.87,9.875,9.87,9.875,830,0
BSII.US,D,20241209,000000,9.88,9.89,9.88,9.89,2677,0
BSII.US,D,20241210,000000,9.89,9.89,9.89,9.89,1056,0
BSII.US,D,20241211,000000,9.9,9.91,9.9,9.91,5695,0
BSII.US,D,20241212,000000,9.9,9.92,9.9,9.92,84322,0
BSII.US,D,20241213,000000,9.92,9.92,9.91,9.92,13172,0
BSII.US,D,20241216,000000,9.92,9.93,9.92,9.9251,202958,0
BSII.US,D,20241217,000000,9.93,9.93,9.89,9.93,2701,0
BSII.US,D,20241218,000000,9.93,9.98,9.93,9.93,389527,0
BSII.US,D,20241219,000000,9.93,9.94,9.93,9.94,265198,0
BSII.US,D,20241220,000000,9.93,9.93,9.93,9.93,101,0
BSII.US,D,20241223,000000,9.92,9.92,9.92,9.92,127,0
BSII.US,D,20241226,000000,9.92,9.935,9.92,9.935,228400,0
BSII.US,D,20241227,000000,9.93,9.93,9.93,9.93,55110,0
BSII.US,D,20250102,000000,9.93,9.935,9.93,9.93,78853,0
BSII.US,D,20250103,000000,9.94,9.94,9.94,9.94,135,0
BSII.US,D,20250110,000000,9.93,9.9319,9.93,9.9319,400,0
