<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTGD.US,D,20241018,000000,20.58,21.0337,20.51,20.9228,36109,0
BTGD.US,D,20241021,000000,20.89,20.9,20.33,20.6171,41571,0
BTGD.US,D,20241022,000000,20.62,20.7299,20.4501,20.7142,33795,0
BTGD.US,D,20241023,000000,20.51,20.51,19.8,20.1196,22641,0
BTGD.US,D,20241024,000000,20.74,20.9,20.44,20.87,34307,0
BTGD.US,D,20241025,000000,20.7,21,20.21,20.41,15539,0
BTGD.US,D,20241028,000000,21.11,21.39,21,21.34,28305,0
BTGD.US,D,20241029,000000,21.91,22.77,21.85,22.47,53045,0
BTGD.US,D,20241030,000000,22.47,22.47,22.1899,22.34,55565,0
BTGD.US,D,20241031,000000,22.33,22.33,21.32,21.38,37032,0
BTGD.US,D,20241101,000000,21.48,21.86,20.92,21.01,16476,0
BTGD.US,D,20241104,000000,21,21,20.5,20.51,68951,0
BTGD.US,D,20241105,000000,21,21.39,20.97,21.16,41535,0
BTGD.US,D,20241106,000000,22.04,22.64,21.75,22.6,52524,0
BTGD.US,D,20241107,000000,22.58,23.185,22.34,23.07,100019,0
BTGD.US,D,20241108,000000,23.07,23.11,22.68,22.95,119255,0
BTGD.US,D,20241111,000000,24,25.61,23.92,25.43,86473,0
BTGD.US,D,20241112,000000,25.43,26.04,24.87,25.95,51515,0
BTGD.US,D,20241113,000000,26.24,27.08,25.62,25.75,60609,0
BTGD.US,D,20241114,000000,26.02,26.19,25.02,25.06,30469,0
BTGD.US,D,20241115,000000,25.25,26.07,25.18,26.07,41090,0
BTGD.US,D,20241118,000000,26.2,26.889,26.028,26.61,36705,0
BTGD.US,D,20241119,000000,26.83,27.56,26.74,27.14,33268,0
BTGD.US,D,20241120,000000,27.85,27.9884,27.45,27.8,51713,0
BTGD.US,D,20241121,000000,28.86,29.2798,28.4215,29.14,80440,0
BTGD.US,D,20241122,000000,29.14,29.9002,29,29.74,77838,0
BTGD.US,D,20241125,000000,28.76,28.76,27.37,27.52,122929,0
BTGD.US,D,20241126,000000,27,27.47,26.3,26.39,98044,0
BTGD.US,D,20241127,000000,27.7,28.29,27.58,28.06,54179,0
BTGD.US,D,20241129,000000,28.52,28.92,28.4301,28.45,37910,0
BTGD.US,D,20241202,000000,27.99,28.29,27.3599,27.67,46347,0
BTGD.US,D,20241203,000000,27.6,27.86,27.2408,27.68,35419,0
BTGD.US,D,20241204,000000,27.93,28.86,27.5601,28.85,25853,0
BTGD.US,D,20241205,000000,29.91,30.1,28.35,28.52,57041,0
BTGD.US,D,20241206,000000,28.67,29.52,28.5006,29.35,36712,0
BTGD.US,D,20241209,000000,29.02,29.41,28,28,44272,0
BTGD.US,D,20241210,000000,28.57,29.085,27.9249,28.58,40201,0
BTGD.US,D,20241211,000000,29.54,30.5889,29.35,30.42,71049,0
BTGD.US,D,20241212,000000,30.09,30.1,29.1709,29.28,62817,0
BTGD.US,D,20241213,000000,29.28,29.61,29.09,29.47,29814,0
BTGD.US,D,20241216,000000,30.38,31.325,30.34,30.83,87315,0
BTGD.US,D,20241217,000000,31.16,31.34,30.5,30.77,61354,0
BTGD.US,D,20241218,000000,30.32,30.32,28.17,28.43,99746,0
BTGD.US,D,20241219,000000,28.96,29.02,27.05,27.2,71343,0
BTGD.US,D,20241220,000000,27.02,27.9517,27.02,27.54,57403,0
BTGD.US,D,20241223,000000,27.15,27.15,26.17,26.33,48238,0
BTGD.US,D,20241224,000000,27.37,28.19,27.34,28.14,84775,0
BTGD.US,D,20241226,000000,27.3,27.4943,27.0815,27.4,26767,0
BTGD.US,D,20241227,000000,27.4,27.4,26.28,26.68,95257,0
BTGD.US,D,20241230,000000,26.18,26.6,25.49,26.48,27291,0
BTGD.US,D,20241231,000000,26.68,27,26.31,26.36,20083,0
BTGD.US,D,20250102,000000,27.39,28,27.39,27.85,36456,0
BTGD.US,D,20250103,000000,27.68,28.0959,27.59,27.94,24674,0
BTGD.US,D,20250106,000000,28,29.14,27.9,28.96,42461,0
BTGD.US,D,20250107,000000,28.88,28.88,27.32,27.45,26888,0
BTGD.US,D,20250108,000000,27.21,27.46,26.51,26.86,38761,0
BTGD.US,D,20250110,000000,27.45,27.81,26.9,27.48,35706,0
