<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BUFM.US,D,20241212,000000,35.11,35.11,35.0248,35.0248,100,0
BUFM.US,D,20241216,000000,35.16,35.16,35.1,35.1,126,0
BUFM.US,D,20241223,000000,34.73,34.8546,34.73,34.8546,200,0
BUFM.US,D,20241224,000000,35.02,35.0261,35.02,35.0261,104,0
BUFM.US,D,20241226,000000,35.08,35.08,35.068,35.068,2888,0
BUFM.US,D,20241227,000000,34.9,34.9,34.8401,34.8401,6223,0
BUFM.US,D,20241230,000000,34.79,34.79,34.6816,34.6816,5768,0
BUFM.US,D,20241231,000000,34.65,34.65,34.5916,34.5916,230,0
BUFM.US,D,20250102,000000,34.64,34.64,34.5664,34.5664,6275,0
BUFM.US,D,20250103,000000,34.79,34.85,34.781,34.781,37283,0
BUFM.US,D,20250106,000000,34.91,34.91,34.86,34.86,32728,0
BUFM.US,D,20250107,000000,34.75,34.75,34.685,34.685,10250,0
BUFM.US,D,20250108,000000,34.72,34.73,34.7,34.7,5303,0
BUFM.US,D,20250110,000000,34.62,34.62,34.47,34.47,4328,0
