<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CCIR.US,D,20241204,000000,9.96,9.96,9.95,9.95,1022461,0
CCIR.US,D,20241205,000000,9.96,9.96,9.955,9.9599,2224,0
CCIR.US,D,20241206,000000,9.96,9.97,9.96,9.97,3264,0
CCIR.US,D,20241209,000000,9.97,9.98,9.97,9.9705,2898,0
CCIR.US,D,20241210,000000,9.9694,9.9701,9.9601,9.9625,1008,0
CCIR.US,D,20241211,000000,9.97,9.98,9.97,9.98,178424,0
CCIR.US,D,20241212,000000,9.9799,10.05,9.9799,10.05,59810,0
CCIR.US,D,20241213,000000,10.04,10.04,10,10.02,51692,0
CCIR.US,D,20241216,000000,10.2573,10.2573,10,10,114444,0
CCIR.US,D,20241217,000000,10.0071,10.0072,10.0071,10.0072,4353,0
CCIR.US,D,20241219,000000,10.03,10.03,10.005,10.005,892032,0
CCIR.US,D,20241220,000000,10.01,10.01,10.01,10.01,13970,0
CCIR.US,D,20241227,000000,10,10,9.99,9.99,2102,0
CCIR.US,D,20241230,000000,10.01,10.01,10.01,10.01,3372,0
CCIR.US,D,20250102,000000,10,10,10,10,100034,0
CCIR.US,D,20250103,000000,10.0047,10.015,10.0047,10.015,3267,0
CCIR.US,D,20250106,000000,10.0037,10.0199,10.0037,10.0135,99886,0
CCIR.US,D,20250107,000000,10.0085,10.01,10.0085,10.01,1801,0
CCIR.US,D,20250110,000000,10.0044,10.01,10.0044,10.01,13203,0
