<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHARR.US,D,20241127,000000,0.15,0.15,0.14,0.14,1160237,0
CHARR.US,D,20241129,000000,0.139,0.14,0.139,0.14,227695,0
CHARR.US,D,20241202,000000,0.14,0.15,0.135,0.14,1348754,0
CHARR.US,D,20241204,000000,0.15,0.15,0.14,0.14,21165,0
CHARR.US,D,20241205,000000,0.14,0.1401,0.14,0.1401,19800,0
CHARR.US,D,20241209,000000,0.15,0.15,0.15,0.15,2335,0
CHARR.US,D,20241210,000000,0.1398,0.14,0.1398,0.14,1100,0
CHARR.US,D,20241212,000000,0.14,0.14,0.14,0.14,310000,0
CHARR.US,D,20241213,000000,0.14,0.14,0.14,0.14,400,0
CHARR.US,D,20241216,000000,0.14,0.14,0.14,0.14,200,0
CHARR.US,D,20241220,000000,0.148,0.15,0.145,0.15,41562,0
