<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNCK.US,D,20241212,000000,13.86,13.99,13.3801,13.6,345422,0
CNCK.US,D,20241213,000000,13.8,13.8,11.4034,12.03,346266,0
CNCK.US,D,20241216,000000,12.06,12.55,10.67,10.67,286621,0
CNCK.US,D,20241217,000000,10.7,10.8,9.26,9.57,252754,0
CNCK.US,D,20241218,000000,9.25,9.66,8.15,8.31,221886,0
CNCK.US,D,20241219,000000,8.2,8.4772,7.6114,8.36,111283,0
CNCK.US,D,20241220,000000,8.78,8.99,8.08,8.19,94865,0
CNCK.US,D,20241223,000000,8.44,8.8,6.55,6.89,140447,0
CNCK.US,D,20241224,000000,7,8,6.8,7.7,94651,0
CNCK.US,D,20241226,000000,7.7,8.6,7.7,8.41,159697,0
CNCK.US,D,20241227,000000,8.5,8.695,8.2692,8.5,55452,0
CNCK.US,D,20241230,000000,9.26,9.28,8.7598,8.86,347081,0
CNCK.US,D,20241231,000000,9.19,9.19,8.77,8.89,92347,0
CNCK.US,D,20250102,000000,9.2,9.28,8.4,8.5,85318,0
CNCK.US,D,20250103,000000,8.75,8.9099,8.5,8.64,52421,0
CNCK.US,D,20250106,000000,9,9.03,8.65,8.91,114020,0
CNCK.US,D,20250107,000000,8.96,9.04,8.61,8.89,99672,0
CNCK.US,D,20250108,000000,8.79,8.95,8.6501,8.9,100110,0
CNCK.US,D,20250110,000000,8.95,8.97,8.62,8.79,118153,0
