<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRKN.US,D,20200608,000000,54000,72900,54000,72900,0.0074444446305556,0
CRKN.US,D,20200630,000000,135000,135000,135000,135000,0.0036666667583333,0
CRKN.US,D,20200706,000000,216000,216000,216000,216000,0.0036666667583333,0
CRKN.US,D,20200708,000000,270000,270000,270000,270000,0.0036666667583333,0
CRKN.US,D,20200709,000000,162000,162000,162000,162000,0.0036666667583333,0
CRKN.US,D,20200722,000000,162000,162000,148500,148500,0.0076666668583333,0
CRKN.US,D,20200724,000000,148500,148500,148500,148500,0.0077777779722222,0
CRKN.US,D,20200729,000000,148500,148500,148500,148500,0.022222222777778,0
CRKN.US,D,20200730,000000,148500,148500,148500,148500,0.0036666667583333,0
CRKN.US,D,20200804,000000,148500,148500,148500,148500,0.0074444446305556,0
CRKN.US,D,20200805,000000,145800,145800,145800,145800,0.0036666667583333,0
CRKN.US,D,20200807,000000,146070,146070,146070,146070,0.0036666667583333,0
CRKN.US,D,20200810,000000,135000,135000,135000,135000,0.0036666667583333,0
CRKN.US,D,20200817,000000,128250,128250,101250,101250,0.018555556019444,0
CRKN.US,D,20200818,000000,101250,101250,101250,101250,0.0074444446305556,0
CRKN.US,D,20200819,000000,81000,81000,80730,80730,0.022555556119444,0
CRKN.US,D,20200821,000000,80730,80730,80730,80730,0.012333333641667,0
CRKN.US,D,20200824,000000,60750,60750,53730,53730,0.0092222224527778,0
CRKN.US,D,20200825,000000,53730,53730,53730,53730,0.092555557869444,0
CRKN.US,D,20200901,000000,48870,48870,48870,48870,0.0055555556944444,0
CRKN.US,D,20200908,000000,54000,60480,54000,60480,0.0074444446305556,0
CRKN.US,D,20200911,000000,60750,60750,60750,60750,0.054444445805556,0
CRKN.US,D,20200915,000000,54000,70200,13770,28350,1.2616666982083,0
CRKN.US,D,20200916,000000,40500,40500,20250,33750,0.077777779722222,0
CRKN.US,D,20200917,000000,28350,33750,28350,33750,0.19633333824167,0
CRKN.US,D,20200921,000000,32400,36450,32400,36450,0.022222222777778,0
CRKN.US,D,20200922,000000,40500,40500,37800,37800,0.011111111388889,0
