<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CRWL.US,D,20241114,000000,26.1,26.1,25.1913,25.1913,12770,0
CRWL.US,D,20241115,000000,24.96,24.96,23.47,24.0619,15690,0
CRWL.US,D,20241118,000000,24.32,25.3899,24.135,24.8728,13958,0
CRWL.US,D,20241119,000000,24.3557,26.9699,24.3102,26.3721,28729,0
CRWL.US,D,20241120,000000,27,27,25.1854,25.8461,30349,0
CRWL.US,D,20241121,000000,26.53,27.609,26.31,27,35298,0
CRWL.US,D,20241122,000000,27.05,29.17,27.05,29.17,40803,0
CRWL.US,D,20241125,000000,29.73,29.73,27.39,27.78,138005,0
CRWL.US,D,20241126,000000,27.93,28.2159,27.37,27.83,69102,0
CRWL.US,D,20241127,000000,26.89,26.89,24.21,25.26,183885,0
CRWL.US,D,20241129,000000,25.45,25.51,24.96,25.09,22738,0
CRWL.US,D,20241202,000000,24.2,26.149,23.641,25.02,77440,0
CRWL.US,D,20241203,000000,24.74,25.72,24.74,25.54,123409,0
CRWL.US,D,20241204,000000,25.89,27.8943,25.345,27.6,60459,0
CRWL.US,D,20241205,000000,27.26,27.81,26.88,27.69,62374,0
CRWL.US,D,20241206,000000,27.59,28.53,27.1,27.79,60188,0
CRWL.US,D,20241209,000000,27.65,27.8409,25.65,25.92,65551,0
CRWL.US,D,20241210,000000,25.9,26.34,24.68,24.93,19186,0
CRWL.US,D,20241211,000000,25.35,27.479,25.22,27.22,72395,0
CRWL.US,D,20241212,000000,26.809,27.5754,26.74,27.52,18359,0
CRWL.US,D,20241213,000000,27.85,28.125,26.9966,27.88,54404,0
CRWL.US,D,20241216,000000,28.17,31.09,27.5178,30.93,114993,0
CRWL.US,D,20241217,000000,30.77,30.8,28.6293,29.09,142106,0
CRWL.US,D,20241218,000000,29.31,29.31,24.3,25.01,83855,0
CRWL.US,D,20241219,000000,27.11,27.11,24.9766,25.11,54809,0
CRWL.US,D,20241220,000000,24.47,27.111,24.36,26.69,47612,0
CRWL.US,D,20241223,000000,26.11,27.14,25.66,26.58,82318,0
CRWL.US,D,20241224,000000,26.52,27.14,26.35,27.13,38130,0
CRWL.US,D,20241226,000000,27.07,27.2183,26.79,26.99,41938,0
CRWL.US,D,20241227,000000,26.43,26.43,24.81,25.51,38547,0
CRWL.US,D,20241230,000000,24.33,25.18,24.09,24.71,65610,0
CRWL.US,D,20241231,000000,25.07,25.07,23.42,23.63,77536,0
CRWL.US,D,20250102,000000,24.4,24.8,23.5042,24.34,48769,0
CRWL.US,D,20250103,000000,24.71,25.99,24.71,25.95,54056,0
CRWL.US,D,20250106,000000,26.48,27.22,25.59,27.05,98978,0
CRWL.US,D,20250107,000000,26.92,27.58,25.36,26.08,92318,0
CRWL.US,D,20250108,000000,25.6,26.765,24.86,25.9,78758,0
CRWL.US,D,20250110,000000,24.5501,24.9,23.7401,24.4,45826,0
