<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVQQ.US,D,20241218,000000,25.06,25.06,23.42,23.5368,1205,0
DVQQ.US,D,20241219,000000,23.43,23.43,23.2634,23.2634,799,0
DVQQ.US,D,20241220,000000,23.78,23.79,23.449,23.449,14029,0
DVQQ.US,D,20241223,000000,23.72,23.7576,23.72,23.7576,200,0
DVQQ.US,D,20241224,000000,24,24.1116,24,24.1116,1158,0
DVQQ.US,D,20241226,000000,24.13,24.13,24.1126,24.1126,300,0
DVQQ.US,D,20250102,000000,23.255,23.255,23.02,23.0943,870,0
DVQQ.US,D,20250103,000000,23.3,23.5067,23.3,23.5067,402,0
DVQQ.US,D,20250106,000000,23.8302,23.93,23.7751,23.7751,422,0
DVQQ.US,D,20250107,000000,23.77,23.7701,23.29,23.3397,2071,0
DVQQ.US,D,20250108,000000,23.3068,23.36,23.17,23.3437,308,0
DVQQ.US,D,20250110,000000,22.99,23,22.86,23,877,0
