<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DVSP.US,D,20241218,000000,24.8501,24.8501,23.5131,23.5131,650,0
DVSP.US,D,20241219,000000,23.68,23.71,23.4004,23.4004,1351,0
DVSP.US,D,20241220,000000,23.99,23.99,23.735,23.7697,762,0
DVSP.US,D,20241223,000000,23.86,24.065,23.86,24.0503,201,0
DVSP.US,D,20241224,000000,24.2402,24.4141,24.2402,24.4141,792,0
DVSP.US,D,20241226,000000,24.43,24.44,24.43,24.44,189,0
DVSP.US,D,20241227,000000,24.01,24.09,24.01,24.0266,263,0
DVSP.US,D,20241230,000000,23.51,23.6906,23.51,23.6906,138,0
DVSP.US,D,20241231,000000,23.54,23.54,23.5155,23.5155,514,0
DVSP.US,D,20250102,000000,23.561,23.561,23.3699,23.4383,732,0
DVSP.US,D,20250103,000000,23.645,23.88,23.645,23.8464,474,0
DVSP.US,D,20250106,000000,24.12,24.26,23.9985,23.9985,938,0
DVSP.US,D,20250107,000000,24.0784,24.0784,23.6634,23.6634,363,0
DVSP.US,D,20250108,000000,23.57,23.74,23.5,23.7025,592,0
DVSP.US,D,20250110,000000,23.34,23.34,23.1719,23.29,743,0
