<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DYNX.US,D,20241210,000000,9.8,9.8,9.8,9.8,11545,0
DYNX.US,D,20241211,000000,9.79,9.7902,9.79,9.79,1834,0
DYNX.US,D,20241212,000000,9.83,9.83,9.79,9.79,3420,0
DYNX.US,D,20241213,000000,9.84,9.84,9.79,9.8101,15588,0
DYNX.US,D,20241216,000000,10.004,10.4813,9.79,9.79,193441,0
DYNX.US,D,20241217,000000,9.8,9.82,9.8,9.82,15114,0
DYNX.US,D,20241218,000000,9.82,9.82,9.8,9.82,143948,0
DYNX.US,D,20241219,000000,9.82,9.82,9.8,9.815,33455,0
DYNX.US,D,20241220,000000,9.81,9.81,9.8,9.8,114449,0
DYNX.US,D,20241223,000000,9.81,9.82,9.81,9.82,29822,0
DYNX.US,D,20241226,000000,9.835,9.835,9.79,9.7949,259551,0
DYNX.US,D,20241227,000000,9.79,9.79,9.79,9.79,1371,0
DYNX.US,D,20241230,000000,9.78,9.8,9.78,9.8,2497,0
DYNX.US,D,20241231,000000,9.8,9.8,9.78,9.79,41118,0
DYNX.US,D,20250103,000000,9.8,9.8,9.8,9.8,222,0
DYNX.US,D,20250107,000000,9.8,9.8,9.78,9.79,574,0
DYNX.US,D,20250108,000000,9.79,9.79,9.79,9.79,359,0
DYNX.US,D,20250110,000000,9.79,9.79,9.79,9.79,300,0
