<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DYNXU.US,D,20241121,000000,9.97,9.98,9.95,9.96,5061300,0
DYNXU.US,D,20241122,000000,9.96,9.975,9.95,9.96,1236655,0
DYNXU.US,D,20241125,000000,9.98,9.98,9.96,9.96,69493,0
DYNXU.US,D,20241126,000000,9.96,9.98,9.95,9.95,78924,0
DYNXU.US,D,20241127,000000,9.954346,9.97,9.95,9.96,46201,0
DYNXU.US,D,20241129,000000,9.96,9.96,9.96,9.96,3313,0
DYNXU.US,D,20241202,000000,9.94,9.96,9.94,9.96,56512,0
DYNXU.US,D,20241203,000000,9.9549,9.96,9.95,9.955,48727,0
DYNXU.US,D,20241204,000000,9.9591,9.96,9.94,9.96,259819,0
DYNXU.US,D,20241205,000000,9.95,9.96,9.95,9.96,117924,0
DYNXU.US,D,20241206,000000,9.95,9.96,9.945,9.96,122431,0
DYNXU.US,D,20241209,000000,9.95,9.95,9.92,9.92,91163,0
DYNXU.US,D,20241210,000000,9.94,9.95,9.93,9.93,24572,0
DYNXU.US,D,20241211,000000,9.94,9.95,9.9333,9.9333,14277,0
DYNXU.US,D,20241212,000000,9.95,9.95,9.945,9.949,5101,0
DYNXU.US,D,20241213,000000,9.9471,9.95,9.93,9.935,15091,0
DYNXU.US,D,20241216,000000,9.93,9.93,9.91,9.93,60901,0
DYNXU.US,D,20241217,000000,9.93,9.93,9.91,9.92,23202,0
DYNXU.US,D,20241218,000000,9.93,9.93,9.9287,9.93,1812,0
DYNXU.US,D,20241219,000000,9.93,9.96,9.93,9.95,21457,0
DYNXU.US,D,20241220,000000,9.9402,9.95,9.94,9.94,7307,0
DYNXU.US,D,20241223,000000,9.945,9.95,9.94,9.95,2477,0
DYNXU.US,D,20241226,000000,9.94,9.94,9.9171,9.93,68499,0
DYNXU.US,D,20241227,000000,9.93,9.93,9.9289,9.9289,2100,0
DYNXU.US,D,20241230,000000,9.92,9.93,9.92,9.93,300,0
DYNXU.US,D,20241231,000000,9.93,9.93,9.92,9.92,3239,0
DYNXU.US,D,20250102,000000,9.93,9.93,9.92,9.9267,679,0
DYNXU.US,D,20250103,000000,9.94,9.94,9.93,9.94,1727,0
DYNXU.US,D,20250107,000000,9.94,9.94,9.91,9.92,54821,0
DYNXU.US,D,20250108,000000,9.9115,9.92,9.9115,9.92,8221,0
DYNXU.US,D,20250110,000000,9.9199,9.92,9.9149,9.9166,2932,0
