<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DYNXW.US,D,20241210,000000,0.2,0.25,0.2,0.25,31841,0
DYNXW.US,D,20241211,000000,0.2535,0.2535,0.25,0.25,1057,0
DYNXW.US,D,20241216,000000,0.3187,0.32,0.25,0.3,2608,0
DYNXW.US,D,20241218,000000,0.268,0.268,0.25,0.25,271875,0
DYNXW.US,D,20241223,000000,0.264,0.264,0.26,0.26,893,0
DYNXW.US,D,20241224,000000,0.252,0.252,0.25,0.25,1844,0
DYNXW.US,D,20241226,000000,0.250001,0.250001,0.250001,0.250001,105,0
DYNXW.US,D,20241231,000000,0.264,0.264,0.26,0.26,10030,0
DYNXW.US,D,20250102,000000,0.32,0.32,0.28,0.28,398,0
DYNXW.US,D,20250106,000000,0.270001,0.270001,0.270001,0.270001,156,0
DYNXW.US,D,20250110,000000,0.28,0.28,0.28,0.28,503,0
