<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXEEZ.US,D,20241011,000000,75.41,76.1,75.41,76.1,800,0
EXEEZ.US,D,20241017,000000,75.68,75.68,75.68,75.68,5000,0
EXEEZ.US,D,20241022,000000,73,73,72.5,72.5,1600,0
EXEEZ.US,D,20241025,000000,73,73,73,73,180,0
EXEEZ.US,D,20241031,000000,73,73,73,73,100,0
EXEEZ.US,D,20241104,000000,73.285,74.73,72.99,74.73,3536,0
EXEEZ.US,D,20241113,000000,85.22,85.22,85.22,85.22,2002,0
EXEEZ.US,D,20241213,000000,89.6,90.2077,89.6,90.2077,304,0
EXEEZ.US,D,20250107,000000,94,94,94,94,2500,0
EXEEZ.US,D,20250108,000000,94.5,94.5,94,94,1372,0
EXEEZ.US,D,20250110,000000,95.89,95.89,95.46,95.46,200,0
