<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FACTU.US,D,20241126,000000,9.97,9.98,9.93,9.95,15534934,0
FACTU.US,D,20241127,000000,9.95,9.97,9.94,9.945,1276767,0
FACTU.US,D,20241129,000000,9.94,9.96,9.94,9.94,352964,0
FACTU.US,D,20241202,000000,9.9434,9.96,9.94,9.94,61001,0
FACTU.US,D,20241203,000000,9.95,9.95,9.9407,9.95,4000,0
FACTU.US,D,20241204,000000,9.94,9.95,9.94,9.945,138724,0
FACTU.US,D,20241205,000000,9.94,9.95,9.94,9.95,76870,0
FACTU.US,D,20241206,000000,9.95,9.955,9.94,9.955,71647,0
FACTU.US,D,20241209,000000,9.95,9.96,9.95,9.96,7265,0
FACTU.US,D,20241210,000000,9.95,9.96,9.94,9.945,112903,0
FACTU.US,D,20241211,000000,9.95,9.96,9.95,9.95,107369,0
FACTU.US,D,20241212,000000,9.9549,9.955,9.95,9.95,955,0
FACTU.US,D,20241213,000000,9.9574,9.96,9.95,9.96,215533,0
FACTU.US,D,20241216,000000,9.955,9.955,9.95,9.95,149477,0
FACTU.US,D,20241217,000000,9.95,9.96,9.95,9.955,285376,0
FACTU.US,D,20241218,000000,9.955,9.97,9.955,9.97,367039,0
FACTU.US,D,20241219,000000,9.9602,9.9602,9.96,9.96,1668,0
FACTU.US,D,20241220,000000,9.96,9.965,9.9599,9.965,152435,0
FACTU.US,D,20241227,000000,9.97,9.99,9.96,9.99,11240,0
FACTU.US,D,20241231,000000,9.98,9.98,9.98,9.98,2641,0
FACTU.US,D,20250102,000000,9.98,9.98,9.98,9.98,500,0
FACTU.US,D,20250107,000000,9.9775,9.9775,9.9775,9.9775,200,0
FACTU.US,D,20250110,000000,9.98,9.98,9.97,9.97,4620,0
