<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GAINI.US,D,20241219,000000,25.25,25.35,25.12,25.2001,68873,0
GAINI.US,D,20241220,000000,25.25,25.35,25.2,25.34,34380,0
GAINI.US,D,20241223,000000,25.34,25.4,25.17,25.195,22210,0
GAINI.US,D,20241224,000000,25.25,25.25,25.09,25.17,10604,0
GAINI.US,D,20241226,000000,25.15,25.26,25.15,25.23,10987,0
GAINI.US,D,20241227,000000,25.194,25.23,25.13,25.21,17563,0
GAINI.US,D,20241230,000000,25.23,25.28,25.15,25.28,87270,0
GAINI.US,D,20241231,000000,25.3,25.39,25.1,25.37,862878,0
GAINI.US,D,20250102,000000,25.37,25.37,25.2,25.31,60653,0
GAINI.US,D,20250103,000000,25.3,25.3999,25.25,25.33,40833,0
GAINI.US,D,20250106,000000,25.38,25.4,25.32,25.37,92966,0
GAINI.US,D,20250107,000000,25.37,25.4,25.3,25.35,32750,0
GAINI.US,D,20250108,000000,25.37,25.39,25.3,25.33,38662,0
GAINI.US,D,20250110,000000,25.3,25.365,25.3,25.3,42647,0
