<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GLE.US,D,20240920,000000,5.15,5.24,4.17,4.18,1029400,0
GLE.US,D,20240923,000000,4.25,5.16,4.25,4.54,1267533,0
GLE.US,D,20240924,000000,4.82,4.87,4.42,4.55,552444,0
GLE.US,D,20240925,000000,4.52,4.745,4.4,4.42,233931,0
GLE.US,D,20240926,000000,4.42,4.8797,4.42,4.5451,78734,0
GLE.US,D,20240927,000000,4.57,4.76,4.45,4.55,291994,0
GLE.US,D,20240930,000000,4.49,4.6499,4.2201,4.59,252486,0
GLE.US,D,20241001,000000,4.64,4.68,4.45,4.4601,39292,0
GLE.US,D,20241002,000000,4.45,4.54,4.42,4.4259,38333,0
GLE.US,D,20241003,000000,4.6,4.6,4.45,4.57,78657,0
GLE.US,D,20241004,000000,4.57,4.67,4.5012,4.61,70277,0
GLE.US,D,20241007,000000,4.69,4.75,4.4604,4.55,138197,0
GLE.US,D,20241008,000000,4.55,4.6709,3.75,3.89,146825,0
GLE.US,D,20241009,000000,3.81,4.4,3.81,4.2274,90007,0
GLE.US,D,20241010,000000,4.2,4.67,4.2,4.395,233454,0
GLE.US,D,20241011,000000,4.55,4.56,4.06,4.56,43944,0
GLE.US,D,20241014,000000,4.6,4.6907,4.19,4.52,38752,0
GLE.US,D,20241015,000000,4.5,4.52,4.04,4.25,58274,0
GLE.US,D,20241016,000000,4.2,4.4,4.2,4.32,49224,0
GLE.US,D,20241017,000000,4.19,4.39,4.0006,4.28,76423,0
GLE.US,D,20241018,000000,4.35,4.508,4.28,4.508,109019,0
GLE.US,D,20241021,000000,4.6,4.6457,4.4,4.4741,167011,0
GLE.US,D,20241022,000000,4.45,4.5797,4.4157,4.43,17904,0
GLE.US,D,20241023,000000,4.53,4.6,4.4,4.4096,15345,0
GLE.US,D,20241024,000000,4.54,4.54,3.95,4.15,85840,0
GLE.US,D,20241025,000000,4.1649,4.35,4.06,4.14,31734,0
GLE.US,D,20241028,000000,4.08,4.14,3.85,3.85,17058,0
GLE.US,D,20241029,000000,3.91,4.1683,3.85,3.86,39025,0
GLE.US,D,20241030,000000,3.95,4.2413,3.8,3.8,32899,0
GLE.US,D,20241031,000000,3.9,3.98,3.37,3.74,20938,0
GLE.US,D,20241101,000000,3.74,4.38,3.74,3.87,8446,0
GLE.US,D,20241104,000000,4.02,4.28,3.98,4.07,13549,0
GLE.US,D,20241106,000000,3.8361,4.25,3.8361,4.25,42780,0
GLE.US,D,20241107,000000,4.37,4.5,4.29,4.5,13646,0
GLE.US,D,20241108,000000,4.5248,4.6996,4.26,4.61,27625,0
GLE.US,D,20241111,000000,4.51,4.55,4.03,4.04,53287,0
GLE.US,D,20241112,000000,4.22,4.3,3.93,3.93,24055,0
GLE.US,D,20241113,000000,3.9,4.2,3.9,3.92,67817,0
GLE.US,D,20241114,000000,3.8615,4.2,3.8615,3.9,16040,0
GLE.US,D,20241115,000000,3.99,4.12,3.96,4.06,25429,0
GLE.US,D,20241118,000000,3.96,5.225,3.84,5.08,131578,0
GLE.US,D,20241119,000000,4.98,5.2,4.5,5.19,118416,0
GLE.US,D,20241120,000000,5.28,5.44,3.76,3.81,230232,0
GLE.US,D,20241121,000000,4.1894,4.49,4.02,4.37,35783,0
GLE.US,D,20241122,000000,4.21,4.36,3.9,3.94,32051,0
GLE.US,D,20241125,000000,4.25,4.7,3.74,4.08,827234,0
GLE.US,D,20241126,000000,4.18,4.38,2.24,4.02,2097537,0
GLE.US,D,20241127,000000,3.79,4.05,3.6963,3.91,107596,0
GLE.US,D,20241129,000000,3.8854,3.8854,3.5,3.58,61459,0
GLE.US,D,20241202,000000,3.78,3.9,3.32,3.32,62969,0
GLE.US,D,20241203,000000,3.48,3.48,2.99,3.3,106534,0
GLE.US,D,20241204,000000,3.4,3.4,2.8694,3.08,70604,0
GLE.US,D,20241205,000000,3.23,3.54,2.62,3.02,182806,0
GLE.US,D,20241206,000000,3.012,3.012,2.4027,2.601,150052,0
GLE.US,D,20241209,000000,2.53,3.25,2.5,2.94,109310,0
GLE.US,D,20241210,000000,3.17,3.3,2.8,2.93,60645,0
GLE.US,D,20241211,000000,2.93,3.6175,2.42,2.76,447831,0
GLE.US,D,20241212,000000,2.8,2.82,2.4,2.55,48700,0
GLE.US,D,20241213,000000,2.47,2.7,2.35,2.46,36622,0
GLE.US,D,20241216,000000,2.38,2.39,1.56,1.77,267584,0
GLE.US,D,20241217,000000,1.62,1.83,1.62,1.72,65855,0
GLE.US,D,20241218,000000,1.7138,1.7138,1.43,1.5,165924,0
GLE.US,D,20241219,000000,1.62,1.62,1.39,1.45,64081,0
GLE.US,D,20241220,000000,1.4547,1.79,1.41,1.69,83863,0
GLE.US,D,20241223,000000,1.7198,1.8,1.5,1.54,46505,0
GLE.US,D,20241224,000000,1.5,1.56,1.46,1.5,250796,0
GLE.US,D,20241226,000000,1.4,1.5871,1.4,1.5,75429,0
GLE.US,D,20241227,000000,1.55,1.8806,1.41,1.67,180522,0
GLE.US,D,20241230,000000,1.65,1.8988,1.5,1.7274,225224,0
GLE.US,D,20241231,000000,1.7,1.84,1.7,1.73,55309,0
GLE.US,D,20250102,000000,1.7,1.72,1.56,1.6599,31022,0
GLE.US,D,20250103,000000,1.69,1.95,1.67,1.89,65959,0
GLE.US,D,20250106,000000,1.95,2.1823,1.95,2.05,43797,0
GLE.US,D,20250107,000000,2,2.17,1.9017,2.1,55635,0
GLE.US,D,20250108,000000,2.05,2.06,1.67,1.8,53836,0
GLE.US,D,20250110,000000,1.7943,1.9,1.7943,1.8,21515,0
