<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSRT.US,D,20241220,000000,9.9,9.9,9.87,9.87,2041588,0
GSRT.US,D,20241223,000000,9.88,9.885,9.87,9.88,1397873,0
GSRT.US,D,20241224,000000,9.89,9.89,9.86,9.86,875851,0
GSRT.US,D,20241226,000000,9.86,9.8901,9.86,9.89,1611,0
GSRT.US,D,20241227,000000,9.9,9.9,9.9,9.9,227,0
GSRT.US,D,20241230,000000,9.89,9.905,9.89,9.89,984939,0
GSRT.US,D,20241231,000000,9.92,9.92,9.89,9.89,5524,0
GSRT.US,D,20250102,000000,9.89,9.89,9.89,9.89,50034,0
GSRT.US,D,20250106,000000,9.8961,9.9,9.895,9.9,15806,0
GSRT.US,D,20250107,000000,9.89,9.91,9.89,9.9,47912,0
GSRT.US,D,20250108,000000,9.9,9.91,9.9,9.9,14058,0
GSRT.US,D,20250110,000000,9.91,9.92,9.91,9.92,163240,0
