<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GSRTR.US,D,20241220,000000,1.18,1.21,1.18,1.2,108633,0
GSRTR.US,D,20241223,000000,1.1,1.1,1.1,1.1,17801,0
GSRTR.US,D,20241226,000000,1.12,1.15,1.1,1.15,30005,0
GSRTR.US,D,20241227,000000,1.15,1.15,1.15,1.15,7144,0
GSRTR.US,D,20241230,000000,1.19,1.2,1.13,1.13,3931,0
GSRTR.US,D,20250102,000000,1.11,1.11,1.1,1.1,20357,0
GSRTR.US,D,20250103,000000,1.11,1.11,1.1,1.1,50670,0
GSRTR.US,D,20250106,000000,1.19,1.19,1.19,1.19,204,0
GSRTR.US,D,20250107,000000,1.19,1.61,1.16,1.36,44980,0
GSRTR.US,D,20250108,000000,1.28,1.4,1.2,1.29,41871,0
GSRTR.US,D,20250110,000000,1.32,1.54,1.15,1.16,51877,0
