<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HSPOU.US,D,20240522,000000,10.9,10.9,10.9,10.9,382,0
HSPOU.US,D,20240529,000000,10.74,10.75,10.74,10.75,600,0
HSPOU.US,D,20240708,000000,11,11,11,11,250,0
HSPOU.US,D,20240710,000000,11.12,11.12,11.12,11.12,400,0
HSPOU.US,D,20240729,000000,11.16,11.16,11.16,11.16,832,0
HSPOU.US,D,20240813,000000,11.12,11.12,11.12,11.12,250,0
HSPOU.US,D,20240823,000000,11.22,11.22,11.21,11.22,2663,0
HSPOU.US,D,20241007,000000,11.3,11.3,11.3,11.3,350,0
HSPOU.US,D,20241016,000000,11.3,11.3,11.3,11.3,163,0
HSPOU.US,D,20241031,000000,11.6,11.6,11.6,11.6,600,0
HSPOU.US,D,20241127,000000,11.38,11.38,11.37,11.37,250,0
HSPOU.US,D,20241205,000000,11.39,11.39,11.39,11.39,250,0
HSPOU.US,D,20241206,000000,11.35,11.35,11.35,11.35,101,0
HSPOU.US,D,20241220,000000,11.54,11.65,11.54,11.65,1200,0
HSPOU.US,D,20241223,000000,11.64,11.65,11.41,11.65,1614,0
HSPOU.US,D,20250107,000000,11.62,11.62,11.62,11.62,212,0
HSPOU.US,D,20250108,000000,11.83,11.99,11.83,11.99,1316,0
HSPOU.US,D,20250110,000000,11.52,11.55,11.51,11.55,1837,0
