<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
IZTC.US,D,20241113,000000,11.1,12,8.5,8.65,57700,0
IZTC.US,D,20241114,000000,8.93,10.425,8.7502,10.36,56336,0
IZTC.US,D,20241115,000000,10.89,11.32,10,11.12,31707,0
IZTC.US,D,20241118,000000,11.33,12,11.15,11.35,36346,0
IZTC.US,D,20241119,000000,13,13.97,12.5,13,19477,0
IZTC.US,D,20241120,000000,13.5,14.19,13,13.11,43177,0
IZTC.US,D,20241121,000000,13.58,14.5,13.5,14.5,32153,0
IZTC.US,D,20241122,000000,15,19.37,12.85,14.9,124983,0
IZTC.US,D,20241125,000000,16,16.4999,14.42,14.8,58257,0
IZTC.US,D,20241126,000000,15.13,15.9843,12.5,13.84,32434,0
IZTC.US,D,20241127,000000,14.1,14.97,13.41,13.47,7141,0
IZTC.US,D,20241129,000000,13.83,13.83,12.6,12.6,6083,0
IZTC.US,D,20241202,000000,12.6,12.6,10,10.85,37448,0
IZTC.US,D,20241203,000000,10.95,12.27,10.6117,12.27,7147,0
IZTC.US,D,20241204,000000,11.33,13.31,10.8,13.31,41210,0
IZTC.US,D,20241205,000000,13.49,15.72,11.2644,12.34,29939,0
IZTC.US,D,20241206,000000,12,13.24,12,13.24,8394,0
IZTC.US,D,20241209,000000,13.2,14.57,12.475,14.42,41546,0
IZTC.US,D,20241210,000000,14.55,16.64,13.44,14.02,39830,0
IZTC.US,D,20241211,000000,14.0101,15.84,12.83,15.84,49315,0
IZTC.US,D,20241212,000000,15.42,15.7,14.99,15.61,21503,0
IZTC.US,D,20241213,000000,14.92,15.6,13.5081,15.17,12546,0
IZTC.US,D,20241216,000000,14.6,15.94,14.46,15.56,19266,0
IZTC.US,D,20241217,000000,15.15,15.8,15.09,15.8,20731,0
IZTC.US,D,20241218,000000,15.27,18.9,15.27,17.73,87170,0
IZTC.US,D,20241219,000000,18.44,20,17.04,18.85,82137,0
IZTC.US,D,20241220,000000,17,19.65,17,18.57,111165,0
IZTC.US,D,20241223,000000,18.27,19.49,17.4013,19.36,27848,0
IZTC.US,D,20241224,000000,19.9,19.9,19.01,19.48,5350,0
IZTC.US,D,20241226,000000,19.5,21.71,19.49,20.52,29080,0
IZTC.US,D,20241227,000000,20.98,22.12,19.09,20.11,47115,0
IZTC.US,D,20241230,000000,20.8,23,15,16.0501,85715,0
IZTC.US,D,20241231,000000,17,18.96,13.35,16.5,56629,0
IZTC.US,D,20250102,000000,17.31,17.6,13.2766,14.81,40341,0
IZTC.US,D,20250103,000000,14,15.02,12.2156,14.58,18020,0
IZTC.US,D,20250106,000000,14.88,15.013,13.4776,14,49900,0
IZTC.US,D,20250107,000000,13.74,15.5319,12.8,13.27,117605,0
IZTC.US,D,20250108,000000,11.31,13,10.2,12.1,46067,0
IZTC.US,D,20250110,000000,11.51,11.95,11.2484,11.4,11654,0
