<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPBB.US,D,20241203,000000,9.95,9.95,9.95,9.95,2144356,0
LPBB.US,D,20241204,000000,9.96,9.96,9.9571,9.96,7050,0
LPBB.US,D,20241205,000000,10.0814,10.4957,9.95,9.95,407633,0
LPBB.US,D,20241206,000000,9.984,10.0258,9.95,9.96,18917,0
LPBB.US,D,20241209,000000,9.95,9.9851,9.95,9.95,2858,0
LPBB.US,D,20241210,000000,9.94,9.94,9.9398,9.94,600,0
LPBB.US,D,20241211,000000,10.286,11.0243,9.95,9.968,15619,0
LPBB.US,D,20241212,000000,9.96,9.96,9.95,9.96,24095,0
LPBB.US,D,20241213,000000,9.97,9.98,9.955,9.9583,80955,0
LPBB.US,D,20241216,000000,9.95,9.96,9.95,9.95,249290,0
LPBB.US,D,20241217,000000,9.95,11.06,9.94,9.94,81375,0
LPBB.US,D,20241218,000000,9.95,9.95,9.925,9.94,398821,0
LPBB.US,D,20241220,000000,9.94,9.945,9.93,9.94,174036,0
LPBB.US,D,20241223,000000,9.94,9.95,9.94,9.95,31285,0
LPBB.US,D,20241224,000000,9.94,9.94,9.9398,9.94,106644,0
LPBB.US,D,20241226,000000,9.8931,9.9582,9.8931,9.94,163110,0
LPBB.US,D,20241230,000000,9.94,9.96,9.94,9.95,31617,0
LPBB.US,D,20250102,000000,9.95,10.02,9.94,9.95,143125,0
LPBB.US,D,20250107,000000,9.95,9.96,9.95,9.96,29202,0
LPBB.US,D,20250108,000000,9.97,10.05,9.97,10,262013,0
LPBB.US,D,20250110,000000,9.98,10.025,9.95,10.0032,21119,0
