<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LPBBW.US,D,20241202,000000,0.138,0.138,0.135,0.135,54775,0
LPBBW.US,D,20241203,000000,0.15,0.15,0.12,0.13,100048,0
LPBBW.US,D,20241204,000000,0.1364,0.1364,0.13,0.13,47967,0
LPBBW.US,D,20241205,000000,0.135,0.2178,0.135,0.2178,2187,0
LPBBW.US,D,20241206,000000,0.237,0.2471,0.15,0.1599,327001,0
LPBBW.US,D,20241209,000000,0.174,0.1742,0.16,0.16,2687,0
LPBBW.US,D,20241210,000000,0.198,0.198,0.1763,0.1763,1381,0
LPBBW.US,D,20241211,000000,0.1818,0.1818,0.17,0.18,6900,0
LPBBW.US,D,20241213,000000,0.2,0.2,0.173003,0.173003,956,0
LPBBW.US,D,20241216,000000,0.18,0.184,0.178,0.18,204575,0
LPBBW.US,D,20241217,000000,0.2,0.2,0.18,0.191,52756,0
LPBBW.US,D,20250107,000000,0.2019,0.22,0.2,0.2,213004,0
LPBBW.US,D,20250108,000000,0.2,0.2,0.192,0.2,10174,0
