<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
LSE.US,D,20241219,000000,4.25,4.58,3.76,4.35,2061900,0
LSE.US,D,20241220,000000,4.3,5.25,4.3,4.9799,271429,0
LSE.US,D,20241223,000000,5.4,5.8799,5,5.1,189971,0
LSE.US,D,20241224,000000,5.18,5.49,4.8,5,97429,0
LSE.US,D,20241226,000000,4.84,4.84,4.352,4.7,47420,0
LSE.US,D,20241227,000000,4.89,4.9,4.51,4.76,16226,0
LSE.US,D,20241230,000000,4.84,4.85,4.5,4.75,85834,0
LSE.US,D,20241231,000000,4.62,5.44,4.5,4.85,47947,0
LSE.US,D,20250102,000000,4.92,5.3097,4.76,5.17,43889,0
LSE.US,D,20250103,000000,5.3,5.4,4.9,5.01,61397,0
LSE.US,D,20250106,000000,4.99,5.77,4.724,5.49,234104,0
LSE.US,D,20250107,000000,5.71,5.71,5.0252,5.36,74907,0
LSE.US,D,20250108,000000,5.36,5.36,4.8196,5.09,9867,0
LSE.US,D,20250110,000000,5.17,5.6899,5.17,5.5501,45785,0
