<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MBAVW.US,D,20240924,000000,0.12,0.15,0.12,0.13,133799,0
MBAVW.US,D,20240926,000000,0.12,0.126,0.11,0.11,314102,0
MBAVW.US,D,20240927,000000,0.1421,0.15,0.1421,0.15,8601,0
MBAVW.US,D,20240930,000000,0.1441,0.15,0.1101,0.15,1508,0
MBAVW.US,D,20241001,000000,0.14,0.14,0.12,0.13,52143,0
MBAVW.US,D,20241003,000000,0.1894,0.1894,0.1201,0.120101,932,0
MBAVW.US,D,20241004,000000,0.2113,0.2113,0.1301,0.1301,821,0
MBAVW.US,D,20241007,000000,0.15,0.15,0.14,0.14,10875,0
MBAVW.US,D,20241008,000000,0.1319,0.17,0.1319,0.17,19483,0
MBAVW.US,D,20241009,000000,0.182,0.182,0.17,0.17,289,0
MBAVW.US,D,20241014,000000,0.1514,0.17,0.1514,0.17,205,0
MBAVW.US,D,20241017,000000,0.17,0.17,0.14,0.15,600500,0
MBAVW.US,D,20241018,000000,0.15,0.16,0.15,0.16,299913,0
MBAVW.US,D,20241028,000000,0.1605,0.1605,0.1501,0.1501,500,0
MBAVW.US,D,20241105,000000,0.18555,0.18555,0.18555,0.18555,128,0
MBAVW.US,D,20241108,000000,0.17,0.17,0.16,0.16,400,0
MBAVW.US,D,20241113,000000,0.1501,0.16,0.1501,0.16,3230,0
MBAVW.US,D,20241114,000000,0.154,0.154,0.15,0.15,9272,0
MBAVW.US,D,20241115,000000,0.154,0.154,0.15,0.15,2686,0
MBAVW.US,D,20241118,000000,0.13,0.13,0.13,0.13,500,0
MBAVW.US,D,20241120,000000,0.15,0.15,0.15,0.15,3801,0
MBAVW.US,D,20241121,000000,0.15,0.15,0.15,0.15,8209,0
MBAVW.US,D,20241122,000000,0.1315,0.16,0.1315,0.154,188220,0
MBAVW.US,D,20241125,000000,0.13,0.16,0.13,0.1503,51581,0
MBAVW.US,D,20241126,000000,0.16,0.16,0.15,0.15,1213,0
MBAVW.US,D,20241127,000000,0.15,0.154,0.15,0.154,5023,0
MBAVW.US,D,20241202,000000,0.154761,0.16,0.1509,0.16,250313,0
MBAVW.US,D,20241204,000000,0.16,0.16,0.15,0.1501,69231,0
MBAVW.US,D,20241205,000000,0.166,0.17,0.15,0.17,91603,0
MBAVW.US,D,20241206,000000,0.17,0.1814,0.17,0.1814,75872,0
MBAVW.US,D,20241209,000000,0.166,0.18,0.16,0.1659,57792,0
MBAVW.US,D,20241212,000000,0.155,0.18,0.155,0.18,250286,0
MBAVW.US,D,20241213,000000,0.162,0.19,0.1551,0.19,15303,0
MBAVW.US,D,20241216,000000,0.17,0.17,0.17,0.17,45000,0
MBAVW.US,D,20241217,000000,0.1701,0.1701,0.1701,0.1701,2295,0
MBAVW.US,D,20241231,000000,0.18,0.182,0.18,0.18,47035,0
MBAVW.US,D,20250102,000000,0.1908,0.1908,0.182,0.182,400,0
MBAVW.US,D,20250107,000000,0.18,0.18,0.18,0.18,47501,0
MBAVW.US,D,20250108,000000,0.182,0.182,0.18,0.18,46836,0
MBAVW.US,D,20250110,000000,0.1895,0.19,0.1887,0.1899,667,0
