<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MDCX.US,D,20241115,000000,2.45,2.45,2.02,2.24,306670,0
MDCX.US,D,20241118,000000,2.18,2.18,1.91,2.09,41129,0
MDCX.US,D,20241119,000000,2.1,2.2636,2.04,2.04,61152,0
MDCX.US,D,20241120,000000,2.15,2.15,2.03,2.04,16234,0
MDCX.US,D,20241121,000000,2,2.2,1.8,2.2,36849,0
MDCX.US,D,20241122,000000,2.4,2.4,1.87,1.92,50298,0
MDCX.US,D,20241125,000000,2.1,2.19,1.92,2.07,31174,0
MDCX.US,D,20241126,000000,2.01,2.18,2,2.095,10196,0
MDCX.US,D,20241127,000000,2.15,2.65,2.12,2.54,52708,0
MDCX.US,D,20241129,000000,2.8,2.8,2.5,2.6959,11943,0
MDCX.US,D,20241202,000000,2.16,2.5421,2.16,2.4608,7585,0
MDCX.US,D,20241203,000000,2.26,3.23,2.11,2.89,74034,0
MDCX.US,D,20241204,000000,2.92,3.001,2.52,2.8,64645,0
MDCX.US,D,20241205,000000,2.88,3.1822,2.85,2.9,6566,0
MDCX.US,D,20241206,000000,3,3,2.75,2.99,9745,0
MDCX.US,D,20241209,000000,2.88,2.88,2.6774,2.8,8180,0
MDCX.US,D,20241210,000000,3.03,3.03,2.76,2.78,4247,0
MDCX.US,D,20241211,000000,2.79,3,2.79,2.8,8357,0
MDCX.US,D,20241212,000000,2.8421,2.89,2.61,2.75,13599,0
MDCX.US,D,20241213,000000,2.75,2.8475,2.695,2.75,3965,0
MDCX.US,D,20241216,000000,2.74,2.98,2.7,2.95,12012,0
MDCX.US,D,20241217,000000,2.94,2.9999,2.275,2.64,38900,0
MDCX.US,D,20241218,000000,2.63,2.92,2.31,2.31,31178,0
MDCX.US,D,20241219,000000,2.53,2.69,2.41,2.45,1753,0
MDCX.US,D,20241220,000000,2.5187,2.85,2.5187,2.58,6170,0
MDCX.US,D,20241223,000000,2.8,2.8,2.77,2.77,233,0
MDCX.US,D,20241224,000000,2.87,2.87,2.64,2.77,2323,0
MDCX.US,D,20241226,000000,2.9199,2.9199,2.4501,2.84,9503,0
MDCX.US,D,20241227,000000,2.89,2.92,2.24,2.6,26182,0
MDCX.US,D,20241230,000000,2.795,2.84,2.29,2.46,21724,0
MDCX.US,D,20241231,000000,2.58,2.67,2.25,2.43,17638,0
MDCX.US,D,20250102,000000,2.43,2.91,2.22,2.51,17879,0
MDCX.US,D,20250103,000000,2.67,2.77,2.51,2.51,31245,0
MDCX.US,D,20250106,000000,2.5,2.92,2.31,2.88,21714,0
MDCX.US,D,20250107,000000,2.96,2.99,2.54,2.99,4450,0
MDCX.US,D,20250108,000000,2.7,2.99,2.67,2.94,13685,0
MDCX.US,D,20250110,000000,2.7,2.82,2.63,2.79,4221,0
