<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MLACU.US,D,20241216,000000,10.01,10.02,10,10,250846,0
MLACU.US,D,20241217,000000,10.025,10.05,10,10,113952,0
MLACU.US,D,20241218,000000,10.0186,10.02,10.01,10.015,319154,0
MLACU.US,D,20241219,000000,10.05,10.05,10.01,10.01,470163,0
MLACU.US,D,20241220,000000,10.05,10.05,10.01,10.02,153319,0
MLACU.US,D,20241223,000000,10.01,10.02,10.01,10.02,101120,0
MLACU.US,D,20241224,000000,10.0523,10.0523,10.0523,10.0523,205,0
MLACU.US,D,20241226,000000,10.02,10.02,10.02,10.02,5290,0
MLACU.US,D,20241230,000000,10.03,10.04,10,10.04,3625,0
MLACU.US,D,20241231,000000,10,10.03,10,10.03,73039,0
MLACU.US,D,20250102,000000,10.03,10.03,10.03,10.03,9685,0
MLACU.US,D,20250103,000000,10.03,10.04,10.02,10.04,54265,0
MLACU.US,D,20250106,000000,10.02,10.04,10.02,10.04,388,0
MLACU.US,D,20250107,000000,10.01,10.03,10.01,10.025,5541,0
MLACU.US,D,20250108,000000,10.02,10.02,10.02,10.02,154,0
