<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSW.US,D,20241122,000000,5.65,5.98,5.09,5.59,658000,0
MSW.US,D,20241125,000000,5.5,6.9798,5.5,6.68,176341,0
MSW.US,D,20241126,000000,6.79,6.79,5.94,6.12,96292,0
MSW.US,D,20241127,000000,5.81,6.44,5.8,6.16,17734,0
MSW.US,D,20241129,000000,6.285,6.3499,6.11,6.2,11967,0
MSW.US,D,20241202,000000,6.01,6.43,6.01,6.08,111018,0
MSW.US,D,20241203,000000,6.15,8.13,6,7.26,335461,0
MSW.US,D,20241204,000000,7.56,7.81,5.8501,6.12,271175,0
MSW.US,D,20241205,000000,6.99,7.14,5.8501,5.8501,105321,0
MSW.US,D,20241206,000000,6.11,6.45,5.95,5.95,57030,0
MSW.US,D,20241209,000000,5.8,6.41,5.8,5.89,107269,0
MSW.US,D,20241210,000000,6.2855,7.04,5.68,6.0609,170145,0
MSW.US,D,20241211,000000,6.125,6.13,5.6643,6.08,31965,0
MSW.US,D,20241212,000000,6.1,6.5418,5.71,5.74,69951,0
MSW.US,D,20241213,000000,5.87,6.15,5.7,5.89,57195,0
MSW.US,D,20241216,000000,6.01,6.2783,5.73,5.84,210835,0
MSW.US,D,20241217,000000,5.88,6.155,4.7205,4.92,94081,0
MSW.US,D,20241218,000000,5.27,5.27,5.005,5.14,33733,0
MSW.US,D,20241219,000000,5.26,5.31,4.32,4.34,41468,0
MSW.US,D,20241220,000000,4.34,4.51,3.7,4.17,212152,0
MSW.US,D,20241223,000000,4.37,6.94,4.37,5,552788,0
MSW.US,D,20241224,000000,5,6.41,5,5.73,305745,0
MSW.US,D,20241226,000000,5.91,6.48,5.8,6.42,50923,0
MSW.US,D,20241227,000000,6,7.8,5.52,6.42,567095,0
MSW.US,D,20241230,000000,6.81,7,6,6.79,410411,0
MSW.US,D,20241231,000000,6.61,6.85,5.8599,6.2,38924,0
MSW.US,D,20250102,000000,6.05,6.43,5.29,5.62,93185,0
MSW.US,D,20250103,000000,5.88,5.9,4.575,4.8,105131,0
MSW.US,D,20250106,000000,5.11,5.79,4.84,5.5,84725,0
MSW.US,D,20250107,000000,5.5,5.8,5.015,5.12,108103,0
MSW.US,D,20250108,000000,5.12,5.9,5.0201,5.17,95193,0
MSW.US,D,20250110,000000,5.41,10.58,5.41,7.19,1856322,0
