<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCG.US,D,20241004,000000,24.89,24.89,24.89,24.89,1,0
MYCG.US,D,20241007,000000,24.86,24.86,24.86,24.86,4,0
MYCG.US,D,20241008,000000,24.89,25.2,24.89,24.89,61921,0
MYCG.US,D,20241009,000000,24.875,24.875,24.875,24.875,592,0
MYCG.US,D,20241010,000000,24.9,24.9,24.88,24.9,960,0
MYCG.US,D,20241011,000000,24.95,24.96,24.935,24.935,827,0
MYCG.US,D,20241014,000000,24.9,24.9,24.9,24.9,3,0
MYCG.US,D,20241015,000000,24.939,24.939,24.925,24.925,273,0
MYCG.US,D,20241016,000000,24.941,24.945,24.92,24.945,221,0
MYCG.US,D,20241017,000000,24.94,24.94,24.915,24.915,1290,0
MYCG.US,D,20241018,000000,24.95,24.95,24.94,24.94,778,0
MYCG.US,D,20241021,000000,24.88,24.9,24.87,24.87,792,0
MYCG.US,D,20241022,000000,24.87,24.87,24.87,24.87,20,0
MYCG.US,D,20241023,000000,24.8384,24.8384,24.8384,24.8384,3,0
MYCG.US,D,20241024,000000,24.855,24.855,24.855,24.855,3,0
MYCG.US,D,20241025,000000,24.875,24.875,24.875,24.875,1,0
MYCG.US,D,20241028,000000,24.83,24.83,24.83,24.83,1,0
MYCG.US,D,20241029,000000,24.84,24.855,24.8395,24.855,44331,0
MYCG.US,D,20241030,000000,24.815,24.815,24.815,24.815,121,0
MYCG.US,D,20241031,000000,24.83,24.83,24.81,24.81,200,0
MYCG.US,D,20241104,000000,24.77,24.77,24.765,24.765,402,0
MYCG.US,D,20241105,000000,24.715,24.77,24.715,24.75,1490,0
MYCG.US,D,20241106,000000,24.7585,24.7585,24.725,24.725,414,0
MYCG.US,D,20241107,000000,24.81,24.81,24.81,24.81,1,0
MYCG.US,D,20241108,000000,24.81,24.81,24.79,24.79,387,0
MYCG.US,D,20241112,000000,24.725,24.725,24.72,24.72,1043,0
MYCG.US,D,20241113,000000,24.75,24.75,24.735,24.735,343,0
MYCG.US,D,20241115,000000,24.75,24.7546,24.75,24.7546,506,0
MYCG.US,D,20241118,000000,24.75,24.76,24.75,24.75,13611,0
MYCG.US,D,20241119,000000,24.78,24.78,24.77,24.77,169,0
MYCG.US,D,20241120,000000,24.76,24.76,24.74,24.74,102,0
MYCG.US,D,20241121,000000,24.75,24.75,24.73,24.73,201,0
MYCG.US,D,20241122,000000,24.75,24.75,24.7277,24.7277,125,0
MYCG.US,D,20241125,000000,24.82,24.82,24.8,24.8,1154,0
MYCG.US,D,20241126,000000,24.8,24.8,24.785,24.785,100,0
MYCG.US,D,20241127,000000,24.84,24.84,24.82,24.82,107,0
MYCG.US,D,20241203,000000,24.8,24.8,24.775,24.775,135,0
MYCG.US,D,20241205,000000,24.79,24.79,24.79,24.79,143,0
MYCG.US,D,20241210,000000,24.82,24.8309,24.82,24.8309,311,0
MYCG.US,D,20241212,000000,24.82,24.82,24.81,24.81,136,0
MYCG.US,D,20241213,000000,24.81,24.81,24.785,24.785,8132,0
MYCG.US,D,20241216,000000,24.79,24.79,24.79,24.79,4053,0
MYCG.US,D,20241217,000000,24.79,24.79,24.78,24.78,284,0
MYCG.US,D,20241218,000000,24.8,24.82,24.695,24.695,19410,0
MYCG.US,D,20241219,000000,24.6495,24.6495,24.615,24.615,1519,0
MYCG.US,D,20241220,000000,24.6698,24.67,24.646,24.646,2034,0
MYCG.US,D,20241223,000000,24.63,24.65,24.63,24.65,1093,0
MYCG.US,D,20241227,000000,24.68,24.7,24.67,24.67,10995,0
MYCG.US,D,20241230,000000,24.695,24.705,24.695,24.705,100,0
MYCG.US,D,20241231,000000,24.68,24.695,24.68,24.695,367,0
MYCG.US,D,20250103,000000,24.7187,24.729,24.7,24.7,1312,0
MYCG.US,D,20250106,000000,24.734,24.734,24.695,24.695,1068,0
MYCG.US,D,20250107,000000,24.73,24.73,24.695,24.695,597,0
MYCG.US,D,20250108,000000,24.72,24.72,24.7,24.7,2000,0
MYCG.US,D,20250110,000000,24.6606,24.705,24.65,24.67,13572,0
