<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYCI.US,D,20241008,000000,24.75,24.76,24.74,24.76,400,0
MYCI.US,D,20241009,000000,24.7501,24.7501,24.7501,24.7501,1,0
MYCI.US,D,20241010,000000,24.7613,24.765,24.75,24.765,18822,0
MYCI.US,D,20241011,000000,24.81,24.81,24.805,24.805,707,0
MYCI.US,D,20241014,000000,24.77,24.77,24.77,24.77,80,0
MYCI.US,D,20241015,000000,24.81,24.86,24.81,24.8393,13382,0
MYCI.US,D,20241016,000000,24.86,24.86,24.8457,24.85,615,0
MYCI.US,D,20241017,000000,24.82,24.82,24.7907,24.7907,529,0
MYCI.US,D,20241018,000000,24.81,24.81,24.8028,24.8028,1295,0
MYCI.US,D,20241021,000000,24.6933,24.7197,24.6933,24.695,268,0
MYCI.US,D,20241022,000000,24.69,24.6997,24.6781,24.685,676,0
MYCI.US,D,20241023,000000,24.64,24.65,24.635,24.635,765,0
MYCI.US,D,20241024,000000,24.675,24.675,24.675,24.675,34,0
MYCI.US,D,20241025,000000,24.6424,24.6424,24.6424,24.6424,169,0
MYCI.US,D,20241028,000000,24.625,24.625,24.625,24.625,562,0
MYCI.US,D,20241029,000000,24.6,24.635,24.6,24.635,3077,0
MYCI.US,D,20241030,000000,24.6,24.6,24.585,24.585,377,0
MYCI.US,D,20241031,000000,24.565,24.565,24.565,24.565,92,0
MYCI.US,D,20241101,000000,24.46,24.46,24.46,24.46,465,0
MYCI.US,D,20241104,000000,24.52,24.52,24.5,24.505,1199,0
MYCI.US,D,20241105,000000,24.53,24.53,24.5256,24.5256,1376,0
MYCI.US,D,20241106,000000,24.48,24.48,24.4656,24.4656,13321,0
MYCI.US,D,20241107,000000,24.58,24.6,24.579,24.6,1198,0
MYCI.US,D,20241108,000000,24.6191,24.6191,24.585,24.585,362,0
MYCI.US,D,20241112,000000,24.47,24.47,24.465,24.465,2482,0
MYCI.US,D,20241113,000000,24.52,24.52,24.47,24.47,583,0
MYCI.US,D,20241114,000000,24.48,24.48,24.4336,24.4336,102,0
MYCI.US,D,20241115,000000,24.41,24.473,24.41,24.473,101,0
MYCI.US,D,20241118,000000,24.48,24.51,24.48,24.495,2140,0
MYCI.US,D,20241119,000000,24.53,24.55,24.525,24.525,16958,0
MYCI.US,D,20241120,000000,24.51,24.51,24.4909,24.4909,100,0
MYCI.US,D,20241121,000000,24.49,24.49,24.475,24.475,271,0
MYCI.US,D,20241122,000000,24.49,24.49,24.4835,24.4835,295,0
MYCI.US,D,20241125,000000,24.59,24.61,24.59,24.605,350,0
MYCI.US,D,20241126,000000,24.56,24.59,24.56,24.59,275,0
MYCI.US,D,20241127,000000,24.62,24.66,24.62,24.645,596,0
MYCI.US,D,20241129,000000,24.71,24.71,24.71,24.71,149,0
MYCI.US,D,20241202,000000,24.62,24.635,24.62,24.635,143,0
MYCI.US,D,20241203,000000,24.64,24.64,24.615,24.615,109,0
MYCI.US,D,20241204,000000,24.63,24.66,24.63,24.66,108,0
MYCI.US,D,20241205,000000,24.63,24.65,24.63,24.65,1273,0
MYCI.US,D,20241206,000000,24.69,24.705,24.69,24.705,201,0
MYCI.US,D,20241209,000000,24.6892,24.6892,24.68,24.68,201,0
MYCI.US,D,20241210,000000,24.68,24.68,24.6702,24.6702,270,0
MYCI.US,D,20241211,000000,24.69,24.69,24.655,24.655,101,0
MYCI.US,D,20241213,000000,24.56,24.56,24.55,24.55,548,0
MYCI.US,D,20241216,000000,24.56,24.56,24.56,24.56,355,0
MYCI.US,D,20241217,000000,24.56,24.63,24.55,24.55,4779,0
MYCI.US,D,20241218,000000,24.56,24.56,24.38,24.3895,2535,0
MYCI.US,D,20241219,000000,24.29,24.3,24.265,24.265,1706,0
MYCI.US,D,20241220,000000,24.32,24.35,24.32,24.325,2414,0
MYCI.US,D,20241223,000000,24.2975,24.2975,24.29,24.29,266,0
MYCI.US,D,20241226,000000,24.29,24.3562,24.29,24.3406,902,0
MYCI.US,D,20241227,000000,24.34,24.34,24.32,24.32,8650,0
MYCI.US,D,20241230,000000,24.38,24.39,24.38,24.385,300,0
MYCI.US,D,20241231,000000,24.355,24.375,24.355,24.375,482,0
MYCI.US,D,20250102,000000,24.39,24.39,24.37,24.375,2482,0
MYCI.US,D,20250106,000000,24.34,24.34,24.33,24.33,1308,0
MYCI.US,D,20250107,000000,24.42,24.42,24.3,24.32,1380,0
MYCI.US,D,20250108,000000,24.32,24.33,24.32,24.32,3365,0
MYCI.US,D,20250110,000000,24.24,24.24,24.19,24.19,6597,0
