<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MYMJ.US,D,20241017,000000,24.96,24.96,24.935,24.935,480,0
MYMJ.US,D,20241018,000000,24.965,24.965,24.965,24.965,4,0
MYMJ.US,D,20241021,000000,24.865,24.865,24.865,24.865,4,0
MYMJ.US,D,20241022,000000,24.83,24.83,24.83,24.83,4,0
MYMJ.US,D,20241023,000000,24.665,24.665,24.665,24.665,4,0
MYMJ.US,D,20241024,000000,24.71,24.72,24.71,24.72,1520,0
MYMJ.US,D,20241025,000000,24.73,24.73,24.73,24.73,4,0
MYMJ.US,D,20241028,000000,24.75,24.84,24.75,24.755,3596,0
MYMJ.US,D,20241029,000000,24.7013,24.7013,24.6956,24.6956,630,0
MYMJ.US,D,20241030,000000,24.75,24.785,24.7374,24.7374,1500,0
MYMJ.US,D,20241031,000000,24.73,24.73,24.7,24.7,800,0
MYMJ.US,D,20241104,000000,24.72,24.72,24.7,24.71,1140,0
MYMJ.US,D,20241105,000000,24.725,24.725,24.725,24.725,3,0
MYMJ.US,D,20241106,000000,24.495,24.495,24.495,24.495,4,0
MYMJ.US,D,20241107,000000,24.59,24.59,24.57,24.57,4223,0
MYMJ.US,D,20241108,000000,24.77,24.77,24.77,24.77,1,0
MYMJ.US,D,20241112,000000,24.73,24.73,24.71,24.71,100,0
MYMJ.US,D,20241113,000000,24.76,24.76,24.725,24.725,102,0
MYMJ.US,D,20241121,000000,24.82,24.825,24.8,24.825,3535,0
MYMJ.US,D,20241125,000000,24.92,24.92,24.91,24.91,330,0
MYMJ.US,D,20241127,000000,25.004,25.004,24.99,24.99,150,0
MYMJ.US,D,20241211,000000,25.02,25.02,24.94,24.955,5613,0
MYMJ.US,D,20241213,000000,24.84,24.8497,24.84,24.8497,600,0
MYMJ.US,D,20241218,000000,24.73,24.73,24.68,24.6886,1800,0
MYMJ.US,D,20241220,000000,24.5999,24.6,24.5999,24.6,100,0
MYMJ.US,D,20241223,000000,24.59,24.59,24.565,24.565,202,0
MYMJ.US,D,20241224,000000,24.5301,24.57,24.5301,24.57,260,0
MYMJ.US,D,20241227,000000,24.58,24.58,24.57,24.57,264,0
MYMJ.US,D,20241231,000000,24.65,24.65,24.635,24.635,145,0
MYMJ.US,D,20250102,000000,24.6899,24.69,24.6899,24.69,202,0
MYMJ.US,D,20250107,000000,24.6405,24.655,24.63,24.655,2847,0
MYMJ.US,D,20250108,000000,24.59,24.595,24.59,24.595,100,0
MYMJ.US,D,20250110,000000,24.55,24.55,24.49,24.49,11341,0
