<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NAMI.US,D,20241206,000000,4.25,7.75,4.01,4.44,2687919,0
NAMI.US,D,20241209,000000,4,4.72,3.9,4.32,532623,0
NAMI.US,D,20241210,000000,4.3,4.98,4.01,4.21,261779,0
NAMI.US,D,20241211,000000,4.3,4.53,4.2,4.22,140493,0
NAMI.US,D,20241212,000000,4.22,4.35,4.01,4.02,142792,0
NAMI.US,D,20241213,000000,4.07,4.1899,3.75,3.92,176352,0
NAMI.US,D,20241216,000000,3.86,4.5,3.7821,4.2,105443,0
NAMI.US,D,20241217,000000,3.95,5.17,3.95,5.17,218168,0
NAMI.US,D,20241218,000000,5.28,6,5.03,5.31,250750,0
NAMI.US,D,20241219,000000,5.25,5.26,4.2,4.43,190495,0
NAMI.US,D,20241220,000000,4.25,5.16,4.25,4.56,143377,0
NAMI.US,D,20241223,000000,4.63,4.93,4.3925,4.49,46138,0
NAMI.US,D,20241224,000000,4.81,4.81,4.33,4.371,22340,0
NAMI.US,D,20241226,000000,4.5,4.75,4.35,4.38,25488,0
NAMI.US,D,20241227,000000,4.38,4.58,4.001,4.18,39453,0
NAMI.US,D,20241230,000000,4.06,4.36,3.7,4.3,89605,0
NAMI.US,D,20241231,000000,4.33,4.8,4.08,4.08,72963,0
NAMI.US,D,20250102,000000,4.21,4.27,4,4,151607,0
NAMI.US,D,20250103,000000,4.12,4.4,3.87,4.025,91552,0
NAMI.US,D,20250106,000000,4.05,4.2493,3.97,4.07,86258,0
NAMI.US,D,20250107,000000,4.08,4.58,4.04,4.08,132182,0
NAMI.US,D,20250108,000000,4.15,4.33,3.93,3.97,254002,0
NAMI.US,D,20250110,000000,3.992,4.46,3.992,4.12,67609,0
