<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NCEW.US,D,20241218,000000,4,4.15,2.16,2.54,1295500,0
NCEW.US,D,20241219,000000,2.52,2.9999,2.52,2.6,349456,0
NCEW.US,D,20241220,000000,2.55,2.9,2.2,2.5,87634,0
NCEW.US,D,20241223,000000,2.48,2.53,2.01,2.2,250588,0
NCEW.US,D,20241224,000000,2.26,2.37,2.05,2.1,58518,0
NCEW.US,D,20241226,000000,2.12,2.25,2.09,2.1,64822,0
NCEW.US,D,20241227,000000,2.18,2.18,1.86,2.02,94119,0
NCEW.US,D,20241230,000000,2.04,2.61,1.95,2.35,133489,0
NCEW.US,D,20241231,000000,2.49,2.7527,2.193,2.5,117228,0
NCEW.US,D,20250102,000000,2.7,2.7,2.35,2.55,95477,0
NCEW.US,D,20250103,000000,2.44,2.5,2.2,2.27,203620,0
NCEW.US,D,20250106,000000,2.36,2.55,2.04,2.04,113396,0
NCEW.US,D,20250107,000000,2.15,2.4,2.15,2.24,33304,0
NCEW.US,D,20250108,000000,2.17,2.3705,2.1,2.1,31124,0
NCEW.US,D,20250110,000000,2.16,2.3,2.1575,2.2365,8177,0
