<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NEHCW.US,D,20241210,000000,0.2943,0.336,0.1717,0.2301,227644,0
NEHCW.US,D,20241211,000000,0.25,0.297,0.2,0.2251,261387,0
NEHCW.US,D,20241212,000000,0.225,0.24245,0.225,0.2296,4431,0
NEHCW.US,D,20241213,000000,0.23,0.2599,0.2,0.2388,34062,0
NEHCW.US,D,20241216,000000,0.2672,0.2672,0.17,0.1751,270753,0
NEHCW.US,D,20241217,000000,0.2,0.2441,0.175,0.2002,181823,0
NEHCW.US,D,20241218,000000,0.18,0.21,0.1755,0.199,39178,0
NEHCW.US,D,20241219,000000,0.2,0.2006,0.1755,0.2,17002,0
NEHCW.US,D,20241220,000000,0.19,0.2,0.139,0.17,321500,0
NEHCW.US,D,20241223,000000,0.16,0.2,0.16,0.19,66325,0
NEHCW.US,D,20241224,000000,0.164951,0.185,0.16,0.1832,89362,0
NEHCW.US,D,20241226,000000,0.188,0.35,0.188,0.3,328090,0
NEHCW.US,D,20241227,000000,0.3342,0.3378,0.27,0.3094,137048,0
NEHCW.US,D,20241230,000000,0.3379,0.4898,0.3199,0.45,387085,0
NEHCW.US,D,20241231,000000,0.5999,0.7,0.44,0.48,413586,0
NEHCW.US,D,20250102,000000,0.5234,0.5825,0.3012,0.375,431716,0
NEHCW.US,D,20250103,000000,0.301,0.3807,0.28,0.3799,286376,0
NEHCW.US,D,20250106,000000,0.47,0.52,0.39,0.4415,188461,0
NEHCW.US,D,20250107,000000,0.4417,0.4675,0.378749,0.393617,33086,0
NEHCW.US,D,20250108,000000,0.41,0.5442,0.3379,0.35,118174,0
NEHCW.US,D,20250110,000000,0.4,0.41,0.3142,0.4,48634,0
