<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NIXXW.US,D,20241007,000000,0.01,0.01,0.01,0.01,100,0
NIXXW.US,D,20241009,000000,0.0055,0.0092,0.0055,0.0092,5209,0
NIXXW.US,D,20241014,000000,0.0057,0.0057,0.0057,0.0057,750,0
NIXXW.US,D,20241016,000000,0.0056,0.0056,0.0056,0.0056,6000,0
NIXXW.US,D,20241017,000000,0.0151,0.04,0.0151,0.0219,518390,0
NIXXW.US,D,20241018,000000,0.0107,0.019,0.0106,0.012,65723,0
NIXXW.US,D,20241021,000000,0.01385,0.019,0.013,0.0131,74325,0
NIXXW.US,D,20241022,000000,0.0131,0.0157,0.0115,0.0115,11051,0
NIXXW.US,D,20241024,000000,0.013,0.0131,0.0115,0.0131,5755,0
NIXXW.US,D,20241025,000000,0.013,0.013,0.0125,0.0126,13998,0
NIXXW.US,D,20241028,000000,0.0126,0.0126,0.0126,0.0126,3000,0
NIXXW.US,D,20241029,000000,0.0126,0.013,0.0126,0.013,335,0
NIXXW.US,D,20241030,000000,0.0166,0.0169,0.0126,0.0127,20337,0
NIXXW.US,D,20241031,000000,0.015,0.0194,0.015,0.01615,4271,0
NIXXW.US,D,20241101,000000,0.0125,0.0179,0.0125,0.0156,10752,0
NIXXW.US,D,20241104,000000,0.0188,0.0188,0.0126,0.0126,2500,0
NIXXW.US,D,20241105,000000,0.0141,0.0141,0.0127,0.0129,13188,0
NIXXW.US,D,20241106,000000,0.013,0.013,0.013,0.013,8050,0
NIXXW.US,D,20241108,000000,0.0129,0.013,0.0129,0.013,14734,0
NIXXW.US,D,20241111,000000,0.014101,0.014101,0.0141,0.0141,25571,0
NIXXW.US,D,20241114,000000,0.0141,0.0141,0.0141,0.0141,100,0
NIXXW.US,D,20241115,000000,0.0155,0.0155,0.0155,0.0155,22496,0
NIXXW.US,D,20241120,000000,0.026,0.026,0.0144,0.0195,17071,0
NIXXW.US,D,20241121,000000,0.0196,0.037,0.0144,0.0144,45039,0
NIXXW.US,D,20241202,000000,0.0149,0.015,0.0149,0.015,600,0
NIXXW.US,D,20241205,000000,0.0163,0.0164,0.0163,0.0164,10794,0
NIXXW.US,D,20241209,000000,0.039,0.039,0.022,0.022,750,0
NIXXW.US,D,20241210,000000,0.016,0.022,0.016,0.022,4200,0
NIXXW.US,D,20241216,000000,0.038,0.038,0.022,0.022,1620,0
NIXXW.US,D,20241218,000000,0.0379,0.0379,0.022,0.029,7479,0
NIXXW.US,D,20241219,000000,0.022,0.0221,0.022,0.0221,2603,0
NIXXW.US,D,20241220,000000,0.035,0.035,0.022,0.022,24677,0
NIXXW.US,D,20241227,000000,0.0179,0.0179,0.0179,0.0179,5000,0
NIXXW.US,D,20241230,000000,0.02255,0.02255,0.0151,0.0152,12938,0
NIXXW.US,D,20241231,000000,0.0152,0.0152,0.0147,0.0149,40246,0
NIXXW.US,D,20250102,000000,0.0148,0.0148,0.0148,0.0148,100,0
NIXXW.US,D,20250106,000000,0.0298,0.03,0.0201,0.0295,109350,0
NIXXW.US,D,20250107,000000,0.0234,0.025383,0.0234,0.0235,7717,0
NIXXW.US,D,20250108,000000,0.0235,0.0235,0.0202,0.0202,26851,0
NIXXW.US,D,20250110,000000,0.0241,0.0241,0.0241,0.0241,1252,0
