<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NOEMU.US,D,20241121,000000,9.97,10,9.97,9.98,1522400,0
NOEMU.US,D,20241122,000000,9.99,9.99,9.98,9.98,86565,0
NOEMU.US,D,20241125,000000,9.99,9.99,9.98,9.9882,66735,0
NOEMU.US,D,20241126,000000,9.99,9.99,9.98,9.98,114276,0
NOEMU.US,D,20241127,000000,9.98,9.9825,9.98,9.9825,420,0
NOEMU.US,D,20241129,000000,9.98,9.99,9.98,9.99,8068,0
NOEMU.US,D,20241202,000000,10,10,9.995,9.995,132377,0
NOEMU.US,D,20241203,000000,10,10,10,10,708,0
NOEMU.US,D,20241204,000000,10.0012,10.0012,10.0012,10.0012,153,0
NOEMU.US,D,20241206,000000,10.01,10.01,9.9902,9.9902,210,0
NOEMU.US,D,20241216,000000,9.99,10.0098,9.99,10,51378,0
NOEMU.US,D,20241217,000000,10,10,10,10,326029,0
NOEMU.US,D,20241218,000000,10,10.25,9.99,9.99,106761,0
NOEMU.US,D,20241219,000000,9.998,10,9.998,10,1741,0
NOEMU.US,D,20241220,000000,9.99,10.05,9.99,10.05,35862,0
NOEMU.US,D,20241223,000000,10.1,10.1,10.06,10.06,777,0
NOEMU.US,D,20241226,000000,10.04,10.04,10.03,10.03,433,0
NOEMU.US,D,20241227,000000,10.03,10.03,10.03,10.03,110,0
NOEMU.US,D,20241230,000000,10.03,10.03,9.99,10.03,1680,0
NOEMU.US,D,20241231,000000,10.02,10.03,10.01,10.02,45538,0
NOEMU.US,D,20250102,000000,10.026,10.03,10.026,10.03,201,0
NOEMU.US,D,20250107,000000,10.03,10.03,10.03,10.03,301,0
NOEMU.US,D,20250108,000000,10.02,10.1,10.02,10.1,1404,0
