<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTCL.US,D,20241213,000000,5.25,5.88,4.59,5,2387800,0
NTCL.US,D,20241216,000000,5.1,5.17,4.66,5.07,188954,0
NTCL.US,D,20241217,000000,5.01,5.25,4.88,5.16,179105,0
NTCL.US,D,20241218,000000,5.24,5.6,5,5.22,85372,0
NTCL.US,D,20241219,000000,5.47,5.47,5.11,5.45,82161,0
NTCL.US,D,20241220,000000,5.5,5.5,5.1525,5.38,16620,0
NTCL.US,D,20241223,000000,5.49,5.89,5.11,5.22,79460,0
NTCL.US,D,20241224,000000,5.29,5.45,5.18,5.35,148055,0
NTCL.US,D,20241226,000000,5.25,5.45,5.2117,5.4358,6601,0
NTCL.US,D,20241227,000000,5.49,5.5,5.38,5.4,5845,0
NTCL.US,D,20241230,000000,5.47,5.99,5.4,5.7673,47715,0
NTCL.US,D,20241231,000000,5.79,5.9,5.79,5.85,7708,0
NTCL.US,D,20250102,000000,5.84,6.2663,5.7316,5.84,76566,0
NTCL.US,D,20250103,000000,5.8,5.895,5.64,5.8,81972,0
NTCL.US,D,20250106,000000,5.86,6.0599,5.3,5.4001,52281,0
NTCL.US,D,20250107,000000,5.47,5.9,5.4,5.635,17843,0
NTCL.US,D,20250108,000000,5.4546,7.8,5.4546,6.69,396042,0
NTCL.US,D,20250110,000000,7.29,7.92,6.5,7.01,915973,0
