<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NVDG.US,D,20241216,000000,14.3,14.3,13.5,13.8098,27838,0
NVDG.US,D,20241217,000000,13.19,13.68,12.8,13.4675,16731,0
NVDG.US,D,20241218,000000,14.32,14.7401,13.1,13.3159,20611,0
NVDG.US,D,20241219,000000,13.72,14.1685,13.36,13.5693,30385,0
NVDG.US,D,20241220,000000,13.169,14.38,13.07,14.2788,53333,0
NVDG.US,D,20241223,000000,14.7,15.38,14.45,15.3676,23038,0
NVDG.US,D,20241224,000000,15.45,15.8399,15.449,15.475,14942,0
NVDG.US,D,20241226,000000,15.33,15.54,15.039,15.45,40114,0
NVDG.US,D,20241227,000000,15.1,15.11,14.329,14.8,14615,0
NVDG.US,D,20241230,000000,14.28,15.38,14.26,14.86,14406,0
NVDG.US,D,20241231,000000,14.77,14.9,14.17,14.1956,23481,0
NVDG.US,D,20250102,000000,14.5,15.1,14.291,15.0045,30237,0
NVDG.US,D,20250103,000000,15.35,16.3807,15.35,16.34,20834,0
NVDG.US,D,20250106,000000,17.2,18.0051,17.1982,17.48,42098,0
NVDG.US,D,20250107,000000,18.31,18.31,15.264,15.3031,115687,0
NVDG.US,D,20250108,000000,15.82,16.051,15,15.2582,76434,0
NVDG.US,D,20250110,000000,14.66,14.66,13.991,14.34,31230,0
