<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OACC.US,D,20241223,000000,9.98,9.98,9.98,9.98,200593,0
OACC.US,D,20241226,000000,9.97,9.97,9.97,9.97,400000,0
OACC.US,D,20241227,000000,9.97,9.985,9.95,9.97,247739,0
OACC.US,D,20241230,000000,9.99,9.99,9.97,9.97,19400,0
OACC.US,D,20241231,000000,9.9701,9.99,9.96,9.96,19307,0
OACC.US,D,20250102,000000,10.042,10.042,9.97,9.97,179481,0
OACC.US,D,20250103,000000,9.97,9.98,9.97,9.98,9451,0
OACC.US,D,20250106,000000,9.98,9.98,9.97,9.97,22120,0
OACC.US,D,20250107,000000,9.97,9.98,9.97,9.98,283977,0
OACC.US,D,20250108,000000,9.98,9.98,9.97,9.97,71796,0
