<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OACCW.US,D,20241218,000000,0.5,0.55,0.5,0.55,187500,0
OACCW.US,D,20241223,000000,0.65,0.65,0.65,0.65,50033,0
OACCW.US,D,20241224,000000,0.75,0.75,0.68695,0.68695,705,0
OACCW.US,D,20241227,000000,0.712,0.712,0.65,0.7,31658,0
OACCW.US,D,20241230,000000,0.61,0.61,0.61,0.61,1556,0
OACCW.US,D,20241231,000000,0.71999,0.936,0.65,0.8788,7016,0
OACCW.US,D,20250102,000000,1.24,1.24,0.8788,0.8788,35488,0
OACCW.US,D,20250103,000000,1.22,1.22,0.74,1.13,2209,0
OACCW.US,D,20250106,000000,1.15,1.15,1.13,1.13,1760,0
OACCW.US,D,20250107,000000,1.04,1.06,0.84,0.9,6707,0
