<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ORIS.US,D,20241017,000000,5.1,10.65,5.1,6,1655100,0
ORIS.US,D,20241018,000000,7.11,8.375,6.33,7.75,495495,0
ORIS.US,D,20241021,000000,7.1,8.81,6.99,8.74,296008,0
ORIS.US,D,20241022,000000,9,11.75,8.886,9.39,347062,0
ORIS.US,D,20241023,000000,9.35,9.62,7.5,8.12,323454,0
ORIS.US,D,20241024,000000,8.12,8.12,6.5,7.12,162355,0
ORIS.US,D,20241025,000000,7.17,7.5,6.67,7.35,30129,0
ORIS.US,D,20241028,000000,7.64,7.64,6.8002,7.15,51421,0
ORIS.US,D,20241029,000000,6.82,7.68,6.7,7.41,286106,0
ORIS.US,D,20241030,000000,7.01,8.7,7,8.27,35066,0
ORIS.US,D,20241031,000000,8.08,8.4298,7.72,8.05,127491,0
ORIS.US,D,20241101,000000,8.01,8.47,7.77,8.01,43331,0
ORIS.US,D,20241104,000000,7.95,8.41,7.15,7.1515,66772,0
ORIS.US,D,20241105,000000,7.07,7.5,7,7.449,58510,0
ORIS.US,D,20241106,000000,7.89,7.89,7,7.3,30708,0
ORIS.US,D,20241107,000000,7.113,7.2588,6.49,6.92,111760,0
ORIS.US,D,20241108,000000,6.71,7.26,6.3,6.75,49591,0
ORIS.US,D,20241111,000000,7.04,7.06,6.78,6.9199,61891,0
ORIS.US,D,20241112,000000,6.95,9.5,4.8,5.64,568381,0
ORIS.US,D,20241113,000000,7.92,8.5,5.7,6.47,973554,0
ORIS.US,D,20241114,000000,7,7.5,5.97,6.34,785633,0
ORIS.US,D,20241115,000000,6.44,6.88,5.4,6.03,420821,0
ORIS.US,D,20241118,000000,5.67,6.4199,5.67,6.13,108906,0
ORIS.US,D,20241119,000000,5.8,6.31,5.8,6.14,24313,0
ORIS.US,D,20241120,000000,6.36,6.8,6.02,6.73,297837,0
ORIS.US,D,20241121,000000,6.15,6.52,6.1,6.4112,333213,0
ORIS.US,D,20241122,000000,6.28,6.45,6.15,6.15,50030,0
ORIS.US,D,20241125,000000,6.42,6.7098,6.25,6.44,25170,0
ORIS.US,D,20241126,000000,6.31,6.89,6.234,6.7365,261072,0
ORIS.US,D,20241127,000000,6.6347,7.38,6.62,7.2757,58403,0
ORIS.US,D,20241129,000000,7.28,7.5929,6.6,6.74,151739,0
ORIS.US,D,20241202,000000,6.5,6.65,6.25,6.57,43776,0
ORIS.US,D,20241203,000000,6.86,11.95,5.5,11.95,1473563,0
ORIS.US,D,20241204,000000,7.6,9.48,7.29,8.01,675307,0
ORIS.US,D,20241205,000000,9.93,56.01,7.2,56.01,6506463,0
ORIS.US,D,20241206,000000,14.5,15.4,2.27,3.62,27579681,0
ORIS.US,D,20241209,000000,3.09,3.17,2.73,2.78,4667409,0
ORIS.US,D,20241210,000000,2.49,2.4949,2.2,2.28,2057440,0
ORIS.US,D,20241211,000000,2.35,2.49,2.01,2.1,1825533,0
ORIS.US,D,20241212,000000,2.15,2.31,2.1,2.1,1328666,0
ORIS.US,D,20241213,000000,2.03,2.0963,1.61,1.79,1804144,0
ORIS.US,D,20241216,000000,1.72,1.78,1.61,1.63,776472,0
ORIS.US,D,20241217,000000,1.6,1.6,1.43,1.46,758092,0
ORIS.US,D,20241218,000000,1.47,1.5399,1.22,1.37,969905,0
ORIS.US,D,20241219,000000,1.33,1.61,1.33,1.46,612771,0
ORIS.US,D,20241220,000000,1.33,1.5,1.33,1.41,341575,0
ORIS.US,D,20241223,000000,1.38,1.4699,1.38,1.38,306885,0
ORIS.US,D,20241224,000000,1.47,1.55,1.42,1.51,279620,0
ORIS.US,D,20241226,000000,1.42,1.6,1.42,1.52,486884,0
ORIS.US,D,20241227,000000,1.6,1.62,1.44,1.51,537615,0
ORIS.US,D,20241230,000000,1.58,1.58,1.33,1.42,363480,0
ORIS.US,D,20241231,000000,1.4,1.6,1.37,1.53,512408,0
ORIS.US,D,20250102,000000,2.82,2.85,1.97,2.17,31119402,0
ORIS.US,D,20250103,000000,2.17,2.46,2.03,2.14,2831111,0
ORIS.US,D,20250106,000000,2.08,2.09,1.5,1.85,1294806,0
ORIS.US,D,20250107,000000,1.86,1.9,1.63,1.7,513766,0
ORIS.US,D,20250108,000000,1.59,1.63,1.5,1.62,671479,0
ORIS.US,D,20250110,000000,1.69,1.7,1.51,1.55,212262,0
