<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
OUSTW.US,D,20241224,000000,0.03,0.0325,0.021,0.03,24220,0
OUSTW.US,D,20241226,000000,0.025,0.035,0.025,0.035,14671,0
OUSTW.US,D,20241227,000000,0.036,0.0898,0.0211,0.0797,248657,0
OUSTW.US,D,20241230,000000,0.3383,0.3383,0.0731,0.1,196743,0
OUSTW.US,D,20241231,000000,0.07,0.0842,0.0515,0.06,55725,0
OUSTW.US,D,20250102,000000,0.0505,0.0577,0.0401,0.0559,18137,0
OUSTW.US,D,20250103,000000,0.06,0.06,0.0339,0.06,85878,0
OUSTW.US,D,20250106,000000,0.055,0.1,0.055,0.0891,28187,0
OUSTW.US,D,20250107,000000,0.1,0.1098,0.0761,0.089,70820,0
OUSTW.US,D,20250108,000000,0.0554,0.07,0.055001,0.0685,15654,0
OUSTW.US,D,20250110,000000,0.0684,0.0684,0.056,0.0561,15222,0
