<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PCMM.US,D,20241205,000000,50.5,50.5,50.25,50.25,15049,0
PCMM.US,D,20241206,000000,50.22,50.25,49.98,50.175,44012,0
PCMM.US,D,20241209,000000,50.4948,50.5,50.3509,50.41,38534,0
PCMM.US,D,20241210,000000,50.3,50.3,50.0994,50.2,5351,0
PCMM.US,D,20241211,000000,50,50.3983,50,50.3983,1060,0
PCMM.US,D,20241212,000000,50.2,50.31,50.02,50.235,6924,0
PCMM.US,D,20241213,000000,50.4,50.4,50.2,50.2,18830,0
PCMM.US,D,20241216,000000,50.48,50.48,50.22,50.285,2890,0
PCMM.US,D,20241217,000000,50.36,50.36,50.11,50.305,6002,0
PCMM.US,D,20241218,000000,51.08,51.08,50.325,50.325,2631,0
PCMM.US,D,20241219,000000,50.395,50.625,50.26,50.325,2978,0
PCMM.US,D,20241220,000000,50.26,50.705,50.26,50.61,772,0
PCMM.US,D,20241223,000000,50.4099,50.425,50.29,50.425,3337,0
PCMM.US,D,20241224,000000,50.29,50.93,50.25,50.5821,23440,0
PCMM.US,D,20241226,000000,50.6199,50.7965,50.4,50.5688,17515,0
PCMM.US,D,20241227,000000,50.62,50.97,50.5553,50.795,5362,0
PCMM.US,D,20241230,000000,52.73,52.73,50.46,50.675,182083,0
PCMM.US,D,20241231,000000,50.555,50.659,50.555,50.555,4579,0
PCMM.US,D,20250102,000000,50.63,50.79,50.4546,50.65,8704,0
PCMM.US,D,20250103,000000,50.6312,50.7916,50.5001,50.6416,3682,0
PCMM.US,D,20250106,000000,50.5,50.65,50.5,50.65,81619,0
PCMM.US,D,20250107,000000,50.55,50.6774,50.525,50.6774,10309,0
PCMM.US,D,20250108,000000,50.6,50.81,50.5,50.685,7166,0
PCMM.US,D,20250110,000000,50.84,50.84,50.575,50.6,9837,0
