<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PEPS.US,D,20241112,000000,25.12,25.12,25.0726,25.0726,2193,0
PEPS.US,D,20241113,000000,25.16,25.16,25.112,25.112,7524,0
PEPS.US,D,20241114,000000,25.13,25.13,24.9324,24.9324,172,0
PEPS.US,D,20241115,000000,24.67,24.67,24.5601,24.5601,2028,0
PEPS.US,D,20241119,000000,24.74,24.815,24.74,24.815,196,0
PEPS.US,D,20241121,000000,24.88,25.04,24.88,24.9879,207,0
PEPS.US,D,20241125,000000,25.28,25.28,25.165,25.165,718,0
PEPS.US,D,20241127,000000,25.27,25.27,25.235,25.235,123,0
PEPS.US,D,20241129,000000,25.429,25.429,25.3865,25.3865,403,0
PEPS.US,D,20241212,000000,25.71,25.71,25.56,25.56,2272,0
PEPS.US,D,20241213,000000,25.485,25.58,25.485,25.55,1346,0
PEPS.US,D,20241216,000000,25.65,25.691,25.65,25.691,800,0
PEPS.US,D,20241217,000000,25.61,25.61,25.59,25.59,192,0
PEPS.US,D,20241220,000000,25.1,25.1,24.9918,24.9918,119,0
PEPS.US,D,20250107,000000,25.03,25.03,24.865,24.865,1107,0
