<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLTD.US,D,20241213,000000,24.05,24.23,23.294,23.294,21454,0
PLTD.US,D,20241216,000000,23.58,24.7,22.91,23.4,43281,0
PLTD.US,D,20241217,000000,24.16,24.58,23.565,23.7929,36850,0
PLTD.US,D,20241218,000000,23.83,24.97,22.75,24.7055,98926,0
PLTD.US,D,20241219,000000,24,24.0989,23.03,23.7646,204720,0
PLTD.US,D,20241220,000000,24.37,24.5,21.76,21.8,263648,0
PLTD.US,D,20241223,000000,21.78,22.59,21.391,21.76,320434,0
PLTD.US,D,20241224,000000,21.63,21.67,20.65,21.3247,241967,0
PLTD.US,D,20241226,000000,21.14,21.5457,21.02,21.38,130704,0
PLTD.US,D,20241227,000000,21.56,22.4495,21.48,22.19,275976,0
PLTD.US,D,20241230,000000,22.83,23,22.14,22.74,329192,0
PLTD.US,D,20241231,000000,22.55,23.31,22.55,23.18,176767,0
PLTD.US,D,20250102,000000,23.02,24.131,22.9515,23.33,242984,0
PLTD.US,D,20250103,000000,23.32,23.32,21.86,21.86,154629,0
PLTD.US,D,20250106,000000,22.2,23.319,21.85,22.98,152948,0
PLTD.US,D,20250107,000000,23.24,24.8293,23.24,24.75,230014,0
PLTD.US,D,20250108,000000,25.44,25.9563,24.98,25.4,269753,0
PLTD.US,D,20250110,000000,26.36,26.57,25.4,25.78,248069,0
