<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLTU.US,D,20241213,000000,26.93,28.71,26.1,28.71,152817,0
PLTU.US,D,20241216,000000,27.99,29.945,25,28.42,694735,0
PLTU.US,D,20241217,000000,26.6,28.05,25.4459,27.37,445403,0
PLTU.US,D,20241218,000000,27.25,29.67,24.5,25.25,440135,0
PLTU.US,D,20241219,000000,26.9,28.72,26.64,27.16,422482,0
PLTU.US,D,20241220,000000,25.82,31.809,25.175,31.79,625937,0
PLTU.US,D,20241223,000000,31.84,32.8599,29.31,31.81,658115,0
PLTU.US,D,20241224,000000,32.05,35.03,32.05,33.21,525965,0
PLTU.US,D,20241226,000000,33.8,34,32.35,32.99,387247,0
PLTU.US,D,20241227,000000,32.38,32.78,29.5606,30.52,463143,0
PLTU.US,D,20241230,000000,28.77,30.57,28.2,28.98,439590,0
PLTU.US,D,20241231,000000,29.33,29.55,27.3911,27.86,295173,0
PLTU.US,D,20250102,000000,28.25,28.28,25.475,27.45,456759,0
PLTU.US,D,20250103,000000,27.6,30.9018,27.6,30.83,378767,0
PLTU.US,D,20250106,000000,29.97,30.98,26.811,27.84,844143,0
PLTU.US,D,20250107,000000,27.18,27.34,23.33,23.48,805098,0
PLTU.US,D,20250108,000000,22.2,23.14,21.14,22.38,739047,0
PLTU.US,D,20250110,000000,20.74,22.18,20.1852,21.56,474217,0
