<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QBIG.US,D,20241206,000000,30.985,31.2422,30.905,31.2422,22821,0
QBIG.US,D,20241209,000000,31.25,31.27,30.97,31.1572,29296,0
QBIG.US,D,20241210,000000,31.37,31.53,31.099,31.1458,19058,0
QBIG.US,D,20241211,000000,31.51,32.01,31.51,31.9854,46126,0
QBIG.US,D,20241212,000000,33,33,31.7881,31.87,19082,0
QBIG.US,D,20241213,000000,32.39,32.57,32.109,32.43,65949,0
QBIG.US,D,20241216,000000,33.12,33.49,32.7425,33.26,283871,0
QBIG.US,D,20241217,000000,33.3,33.47,32.83,33.47,136468,0
QBIG.US,D,20241218,000000,33.51,33.6,31.75,31.86,139386,0
QBIG.US,D,20241219,000000,32.42,32.42,31.869,31.88,167094,0
QBIG.US,D,20241220,000000,31.88,32.5444,31.45,32.11,97017,0
QBIG.US,D,20241223,000000,32.42,32.62,32.19,32.59,138533,0
QBIG.US,D,20241224,000000,32.8,33.14,32.76,33.14,85141,0
QBIG.US,D,20241226,000000,33.18,33.1925,32.8357,33.11,72892,0
QBIG.US,D,20241227,000000,33.05,33.05,32.13,32.49,37063,0
QBIG.US,D,20241230,000000,32.04,32.315,31.8289,32.09,95709,0
QBIG.US,D,20241231,000000,32.22,32.22,31.62,31.67,76900,0
QBIG.US,D,20250102,000000,31.82,31.9501,31.19,31.54,43080,0
QBIG.US,D,20250103,000000,31.78,32.15,31.77,32.15,122007,0
QBIG.US,D,20250106,000000,32.68,32.98,32.57,32.76,72096,0
QBIG.US,D,20250107,000000,32.92,32.92,31.76,31.87,70769,0
QBIG.US,D,20250108,000000,31.86,31.97,31.616,31.86,39429,0
QBIG.US,D,20250110,000000,31.58,31.58,30.961,31.34,79077,0
