<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
QQLV.US,D,20241206,000000,24.96,24.96,24.8474,24.8474,2347,0
QQLV.US,D,20241209,000000,25.7,25.7,24.6007,24.6007,4432,0
QQLV.US,D,20241210,000000,24.707,24.77,24.6768,24.6768,1036,0
QQLV.US,D,20241211,000000,24.813,24.814,24.6447,24.6447,8056,0
QQLV.US,D,20241212,000000,24.66,24.705,24.5849,24.5849,1902,0
QQLV.US,D,20241213,000000,24.4688,24.4688,24.4359,24.4359,290,0
QQLV.US,D,20241216,000000,24.4905,24.4905,24.3314,24.3314,5514,0
QQLV.US,D,20241218,000000,24.16,24.16,23.711,23.711,225,0
QQLV.US,D,20241219,000000,23.78,23.78,23.4911,23.4911,648,0
QQLV.US,D,20241220,000000,23.79,23.79,23.635,23.635,856,0
QQLV.US,D,20241223,000000,23.58,23.6628,23.58,23.6628,953,0
QQLV.US,D,20241226,000000,23.8496,23.8496,23.844,23.8444,244,0
QQLV.US,D,20250103,000000,23.5988,23.599,23.5345,23.5345,1114,0
QQLV.US,D,20250106,000000,23.55,23.55,23.2925,23.2925,295,0
QQLV.US,D,20250108,000000,23.26,23.4755,23.26,23.4755,924,0
QQLV.US,D,20250110,000000,23.25,23.25,23.25,23.25,144,0
